away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
2,8,6,22,169,96,85,49,2,0,10,6,22,162,95,90,51,4,4.2,3.4,1.91,H
1,12,5,17,139,78,134,66,4,1,5,8,15,109,63,142,76,1,3.0,3.3,2.38,H
3,9,5,16,118,73,129,68,2,3,9,3,11,144,92,87,39,4,4.2,3.4,1.91,D
3,14,2,9,131,76,100,55,5,4,13,5,17,159,90,138,83,1,2.63,3.3,2.75,H
2,14,5,19,175,100,128,63,3,3,15,2,9,131,76,102,60,5,4.75,3.5,1.8,H
1,9,7,14,108,63,147,83,2,1,11,6,24,143,85,115,60,3,3.6,3.4,2.1,H
0,12,5,20,158,96,92,51,5,4,18,1,11,133,67,124,72,5,11.0,4.75,1.33,D
2,19,4,17,148,77,94,54,4,1,19,4,16,150,92,148,89,5,6.5,3.75,1.57,H
1,32,2,13,95,59,176,104,7,4,11,4,16,112,65,121,64,2,1.36,4.75,9.0,A
1,22,2,11,88,43,152,89,7,0,26,2,7,78,35,202,116,8,4.0,3.25,2.0,H
4,9,3,13,146,94,85,39,3,2,7,6,22,154,89,86,52,2,2.6,3.3,2.75,H
3,13,4,16,117,72,150,93,3,4,13,5,18,153,89,136,77,1,3.0,3.3,2.4,A
2,13,4,13,120,48,102,56,4,1,10,6,21,149,84,128,62,3,3.4,3.2,2.25,D
2,8,5,11,143,78,104,64,3,0,24,4,14,84,49,177,102,6,10.0,4.5,1.36,D
3,13,4,14,123,56,100,56,3,3,9,5,13,161,88,100,61,2,2.9,3.2,2.5,H
3,17,2,9,123,73,114,69,5,1,14,5,23,153,95,90,53,4,2.2,3.3,3.4,D
4,11,5,20,105,66,120,67,1,0,24,2,6,95,42,194,116,8,19.0,7.0,1.17,H
4,13,5,18,145,85,135,76,1,2,8,5,18,143,81,93,53,3,2.5,3.25,2.88,D
5,19,1,14,122,62,129,75,4,1,22,4,16,83,48,186,103,5,4.2,3.4,1.91,D
3,14,3,11,118,70,151,94,4,1,22,2,11,92,50,155,90,7,9.0,4.5,1.4,H
1,30,2,13,95,60,172,101,7,2,18,4,16,138,76,104,57,4,1.62,3.75,6.0,H
1,14,5,23,144,83,108,57,4,2,15,5,23,174,100,130,69,3,3.4,3.2,2.25,A
1,10,7,16,109,64,147,82,2,4,10,3,11,144,89,86,40,3,3.5,3.4,2.1,H
2,11,5,21,147,84,129,69,3,1,16,4,15,155,91,140,85,5,8.0,4.33,1.44,H
1,15,4,21,151,86,105,63,5,3,13,4,13,114,54,108,60,3,3.6,3.3,2.1,H
3,14,3,13,128,77,145,88,4,3,10,5,21,139,81,93,56,2,2.15,3.3,3.5,H
1,23,4,15,149,88,151,91,5,4,16,2,10,128,76,115,71,4,2.88,3.25,2.5,D
3,11,3,11,150,90,82,40,4,0,15,5,24,148,85,93,57,5,4.2,3.4,1.91,D
2,15,5,24,177,106,125,67,3,3,16,3,11,112,53,110,61,4,4.2,3.5,1.91,D
2,12,5,22,120,67,96,59,3,6,20,1,16,122,66,122,70,3,11.0,5.5,1.29,D
1,20,2,11,87,48,157,88,7,1,9,7,13,99,51,152,85,2,1.36,4.5,10.0,A
2,14,5,24,146,90,93,55,3,4,16,5,21,138,84,140,81,1,4.5,3.6,1.8,H
