away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
2,8,6,22,2,2009-10-31,0,10,6,22,4,4.2,3.4,1.91,H
1,12,5,17,4,2009-10-31,1,5,8,15,1,3.0,3.3,2.38,H
3,9,5,16,2,2009-10-31,3,9,3,11,4,4.2,3.4,1.91,D
3,14,2,9,5,2009-11-04,4,13,5,17,1,2.63,3.3,2.75,H
2,14,5,19,3,2009-11-07,3,15,2,9,5,4.75,3.5,1.8,H
1,9,7,14,2,2009-11-07,1,11,6,24,3,3.6,3.4,2.1,H
0,12,5,20,5,2009-11-07,4,18,1,11,5,11.0,4.75,1.33,D
2,19,4,17,4,2009-11-07,1,19,4,16,5,6.5,3.75,1.57,H
1,32,2,13,7,2009-11-07,4,11,4,16,2,1.36,4.75,9.0,A
1,22,2,11,7,2009-11-08,0,26,2,7,8,4.0,3.25,2.0,H
4,9,3,13,3,2009-11-08,2,7,6,22,2,2.6,3.3,2.75,H
3,13,4,16,3,2009-11-08,4,13,5,18,1,3.0,3.3,2.4,A
2,13,4,13,4,2009-11-08,1,10,6,21,3,3.4,3.2,2.25,D
2,8,5,11,3,2009-11-09,0,24,4,14,6,10.0,4.5,1.36,D
3,13,4,14,3,2009-11-21,3,9,5,13,2,2.9,3.2,2.5,H
3,17,2,9,5,2009-11-21,1,14,5,23,4,2.2,3.3,3.4,D
4,11,5,20,1,2009-11-21,0,24,2,6,8,19.0,7.0,1.17,H
4,13,5,18,1,2009-11-21,2,8,5,18,3,2.5,3.25,2.88,D
5,19,1,14,4,2009-11-21,1,22,4,16,5,4.2,3.4,1.91,D
3,14,3,11,4,2009-11-21,1,22,2,11,7,9.0,4.5,1.4,H
1,30,2,13,7,2009-11-21,2,18,4,16,4,1.62,3.75,6.0,H
1,14,5,23,4,2009-11-22,2,15,5,23,3,3.4,3.2,2.25,A
1,10,7,16,2,2009-11-22,4,10,3,11,3,3.5,3.4,2.1,H
2,11,5,21,3,2009-11-22,1,16,4,15,5,8.0,4.33,1.44,H
1,15,4,21,5,2009-11-25,3,13,4,13,3,3.6,3.3,2.1,H
3,14,3,13,4,2009-11-25,3,10,5,21,2,2.15,3.3,3.5,H
1,23,4,15,5,2009-11-28,4,16,2,10,4,2.88,3.25,2.5,D
3,11,3,11,4,2009-11-28,0,15,5,24,5,4.2,3.4,1.91,D
2,15,5,24,3,2009-11-28,3,16,3,11,4,4.2,3.5,1.91,D
2,12,5,22,3,2009-11-28,6,20,1,16,3,11.0,5.5,1.29,D
1,20,2,11,7,2009-11-28,1,9,7,13,2,1.36,4.5,10.0,A
2,14,5,24,3,2009-11-28,4,16,5,21,1,4.5,3.6,1.8,H
2,17,4,15,4,2009-11-28,2,12,5,25,3,2.9,3.4,2.4,H
0,26,2,6,8,2009-11-29,1,26,3,13,6,2.7,3.2,2.7,A
2,23,3,15,5,2009-11-29,3,14,4,15,3,2.1,3.4,3.5,A
2,10,5,13,3,2009-11-29,4,11,5,23,1,3.1,3.2,2.4,A
4,10,3,11,3,2009-12-05,1,25,3,14,6,13.0,5.0,1.29,H
3,12,4,19,3,2009-12-05,5,16,2,11,3,7.5,4.33,1.44,H
2,22,3,13,5,2009-12-05,1,12,5,23,4,1.67,3.8,5.25,D
0,26,2,6,8,2009-12-05,7,20,1,17,2,1.91,3.4,4.2,H
2,17,5,26,3,2009-12-05,1,10,7,16,2,4.2,3.4,1.91,H
1,22,2,11,7,2009-12-05,4,21,4,23,2,1.44,4.2,8.0,A
