away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
5,13,3,13,2,2009-10-23,2,12,6,19,2,2.9,3.3,2.4,A
3,11,4,12,3,2009-10-24,3,17,5,18,2,4.2,3.6,1.83,D
1,11,6,19,3,2009-10-24,3,12,4,18,3,3.2,3.3,2.25,D
2,18,4,13,4,2009-10-24,2,14,3,13,5,2.2,3.3,3.25,A
3,17,3,15,4,2009-10-24,4,18,1,8,5,7.0,4.0,1.5,D
2,18,2,10,6,2009-10-25,0,15,4,14,6,2.1,3.4,3.4,A
2,23,1,12,7,2009-10-25,2,12,7,26,1,1.44,4.33,7.0,A
1,11,7,20,2,2009-10-31,2,18,2,10,6,11.0,5.0,1.29,H
1,13,4,13,5,2009-10-31,2,24,1,13,7,12.0,5.25,1.25,H
0,14,4,14,6,2009-10-31,4,12,3,11,3,2.8,3.25,2.5,H
3,13,4,19,3,2009-10-31,3,17,3,15,4,4.33,3.5,1.73,D
1,13,8,28,1,2009-10-31,2,11,5,16,3,8.0,4.33,1.4,D
2,11,4,14,4,2009-11-01,2,17,4,13,4,5.0,3.6,1.7,A
4,17,4,16,2,2009-11-02,4,13,3,11,3,4.75,3.6,1.73,H
2,15,5,13,3,2009-11-06,4,14,4,21,2,2.3,3.4,3.0,A
2,12,5,17,3,2009-11-07,4,15,4,15,2,3.4,3.4,2.1,H
0,13,5,14,5,2009-11-07,1,11,4,13,5,5.75,3.75,1.6,H
3,13,3,10,4,2009-11-07,1,11,7,20,2,3.75,3.4,2.0,D
3,17,3,15,4,2009-11-07,2,14,7,25,1,1.91,3.6,3.75,H
2,17,2,8,6,2009-11-08,3,14,3,10,4,2.1,3.4,3.4,A
2,23,1,13,7,2009-11-08,4,18,1,8,5,3.25,3.3,2.2,H
2,15,6,23,2,2009-11-21,2,16,2,8,6,15.0,7.0,1.17,H
1,15,3,13,6,2009-11-21,2,23,1,14,7,6.25,4.2,1.5,A
4,16,1,8,5,2009-11-21,1,16,5,12,4,2.4,3.3,2.9,H
3,15,4,14,3,2009-11-21,0,12,6,17,4,2.8,3.25,2.5,D
2,10,6,18,2,2009-11-21,2,13,5,16,3,3.5,3.3,2.1,H
3,13,4,12,3,2009-11-22,3,11,3,8,4,2.4,3.3,2.9,H
0,12,5,15,5,2009-11-22,2,15,4,15,4,4.33,3.6,1.8,H
3,12,3,9,4,2009-11-27,2,17,2,9,6,11.0,5.75,1.25,H
3,13,5,22,2,2009-11-28,1,22,2,14,7,10.0,5.0,1.3,H
4,14,3,12,3,2009-11-28,1,14,5,12,4,5.75,3.6,1.62,H
2,15,6,23,2,2009-11-28,1,16,2,11,7,8.0,4.75,1.36,H
0,10,6,18,4,2009-11-28,2,14,4,15,4,3.6,3.3,2.05,H
3,16,2,9,5,2009-11-29,1,11,6,17,3,1.73,3.5,5.0,H
2,9,6,15,2,2009-11-29,2,19,3,14,5,5.75,3.6,1.62,H
1,17,4,12,5,2009-12-04,0,10,6,18,4,2.4,3.3,2.9,A
1,11,6,17,3,2009-12-05,3,10,6,22,1,3.1,3.3,2.3,D
2,15,3,13,5,2009-12-05,2,13,5,13,3,4.2,3.5,1.85,D
2,18,3,13,5,2009-12-05,3,10,4,10,3,2.75,3.3,2.5,H
0,18,2,10,8,2009-12-05,2,15,3,10,5,4.0,3.3,1.95,D
1,17,2,8,7,2009-12-06,4,11,4,15,2,1.67,3.6,5.25,A
1,20,2,12,7,2009-12-06,2,8,6,14,2,1.73,3.6,4.75,A
1,19,1,7,8,2009-12-11,3,14,2,9,5,1.7,3.6,5.0,A
0,12,6,20,4,2009-12-12,0,20,2,11,8,9.0,4.5,1.36,D
4,10,5,18,1,2009-12-12,1,18,2,11,7,7.0,4.33,1.44,D
3,11,3,9,4,2009-12-12,2,9,6,16,2,3.2,3.3,2.25,A
2,14,6,21,2,2009-12-12,3,14,3,12,4,12.0,5.5,1.25,A
2,12,5,12,3,2009-12-13,1,17,4,13,5,4.33,3.6,1.8,H
4,11,4,16,2,2009-12-13,2,18,3,12,5,4.75,3.6,1.73,H
2,18,2,9,6,2009-12-19,2,12,5,12,3,3.25,3.3,2.2,D
3,12,3,10,4,2009-12-19,3,13,2,8,5,3.75,3.4,2.0,D
0,18,4,13,6,2009-12-19,2,7,6,12,2,2.0,3.5,3.6,A
2,8,7,18,1,2009-12-19,2,13,5,18,3,2.8,3.25,2.5,A
2,13,5,18,3,2009-12-26,5,8,5,17,0,4.75,3.5,1.75,H
3,10,5,16,2,2009-12-26,1,17,2,11,7,7.5,4.2,1.44,H
3,10,5,12,2,2009-12-26,2,16,2,10,6,4.5,3.5,1.73,H
