away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
1,7,8,23,151,57,129,44,1,2009-10-30,4,10,3,14,131,46,140,46,3,6.0,4.0,1.53,H
3,13,4,12,118,43,134,49,3,2009-10-31,3,6,5,10,145,42,96,27,2,3.4,3.4,2.1,A
2,10,6,18,174,49,145,51,2,2009-10-31,4,23,0,11,124,46,156,58,6,9.5,4.75,1.33,A
3,20,1,7,101,39,152,67,6,2009-10-31,2,7,6,15,142,56,108,29,2,1.62,3.75,5.5,D
4,19,0,6,74,18,150,58,6,2009-10-31,2,16,2,9,122,36,117,43,6,2.88,3.4,2.38,D
3,17,2,9,103,30,145,60,5,2009-10-31,2,10,6,15,110,43,141,49,2,1.8,3.5,4.5,D
2,15,3,14,141,49,88,39,5,2009-10-31,2,18,3,16,164,60,150,54,5,7.0,4.33,1.44,D
2,10,6,21,168,69,119,31,2,2009-11-01,4,11,3,13,170,63,113,35,3,4.33,3.5,1.83,H
2,18,3,9,89,31,133,44,5,2009-11-01,1,14,6,22,134,46,145,39,3,2.0,3.5,3.6,A
4,10,3,12,153,54,111,33,3,2009-11-06,4,19,0,6,79,19,150,55,6,8.0,4.5,1.4,H
3,16,2,10,121,37,121,43,5,2009-11-07,3,16,2,8,103,35,143,59,5,5.0,3.75,1.67,D
0,13,7,22,138,50,139,35,3,2009-11-07,1,8,7,20,171,68,96,24,2,3.1,3.4,2.25,A
3,19,3,19,166,62,153,52,4,2009-11-07,1,18,3,8,91,30,142,50,6,2.9,3.5,2.3,A
3,8,5,15,147,56,107,33,2,2009-11-07,2,16,3,15,144,47,96,41,5,3.4,3.4,2.1,H
3,10,5,13,104,38,136,51,2,2009-11-07,1,10,6,17,160,49,148,50,3,2.5,3.3,2.75,D
3,24,1,13,120,46,156,63,6,2009-11-08,3,14,3,11,114,42,133,52,4,2.05,3.4,3.5,D
3,6,5,10,135,37,95,30,2,2009-11-08,1,6,9,25,155,62,130,42,0,3.5,3.4,2.05,A
4,11,3,14,135,48,135,43,3,2009-11-08,4,20,0,6,99,38,144,62,6,5.5,3.8,1.62,D
1,16,3,14,139,43,102,42,6,2009-11-21,5,11,2,11,128,46,133,43,3,5.0,3.75,1.67,D
2,8,6,16,158,44,147,45,2,2009-11-21,3,9,4,15,148,55,105,28,3,3.4,3.4,2.1,A
1,19,3,9,90,31,159,53,6,2009-11-21,3,6,4,7,132,29,84,26,3,2.1,3.3,3.5,A
4,20,0,6,100,38,145,68,6,2009-11-21,0,13,6,19,135,51,145,39,4,1.8,3.5,4.5,A
3,15,3,12,117,43,128,50,4,2009-11-21,4,14,2,11,121,38,110,41,4,7.0,4.33,1.44,H
1,5,9,24,137,55,126,37,0,2009-11-21,4,6,5,11,110,37,142,47,1,5.5,3.75,1.62,D
2,7,6,15,149,54,94,29,2,2009-11-21,3,18,3,19,173,61,146,49,4,8.0,4.5,1.4,A
