away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
1,7,8,23,1,2009-10-30,4,10,3,14,3,6.0,4.0,1.53,H
3,13,4,12,3,2009-10-31,3,6,5,10,2,3.4,3.4,2.1,A
2,10,6,18,2,2009-10-31,4,23,0,11,6,9.5,4.75,1.33,A
3,20,1,7,6,2009-10-31,2,7,6,15,2,1.62,3.75,5.5,D
4,19,0,6,6,2009-10-31,2,16,2,9,6,2.88,3.4,2.38,D
3,17,2,9,5,2009-10-31,2,10,6,15,2,1.8,3.5,4.5,D
2,15,3,14,5,2009-10-31,2,18,3,16,5,7.0,4.33,1.44,D
2,10,6,21,2,2009-11-01,4,11,3,13,3,4.33,3.5,1.83,H
2,18,3,9,5,2009-11-01,1,14,6,22,3,2.0,3.5,3.6,A
4,10,3,12,3,2009-11-06,4,19,0,6,6,8.0,4.5,1.4,H
3,16,2,10,5,2009-11-07,3,16,2,8,5,5.0,3.75,1.67,D
0,13,7,22,3,2009-11-07,1,8,7,20,2,3.1,3.4,2.25,A
3,19,3,19,4,2009-11-07,1,18,3,8,6,2.9,3.5,2.3,A
3,8,5,15,2,2009-11-07,2,16,3,15,5,3.4,3.4,2.1,H
3,10,5,13,2,2009-11-07,1,10,6,17,3,2.5,3.3,2.75,D
3,24,1,13,6,2009-11-08,3,14,3,11,4,2.05,3.4,3.5,D
3,6,5,10,2,2009-11-08,1,6,9,25,0,3.5,3.4,2.05,A
4,11,3,14,3,2009-11-08,4,20,0,6,6,5.5,3.8,1.62,D
1,16,3,14,6,2009-11-21,5,11,2,11,3,5.0,3.75,1.67,D
2,8,6,16,2,2009-11-21,3,9,4,15,3,3.4,3.4,2.1,A
1,19,3,9,6,2009-11-21,3,6,4,7,3,2.1,3.3,3.5,A
4,20,0,6,6,2009-11-21,0,13,6,19,4,1.8,3.5,4.5,A
3,15,3,12,4,2009-11-21,4,14,2,11,4,7.0,4.33,1.44,H
1,5,9,24,0,2009-11-21,4,6,5,11,1,5.5,3.75,1.62,D
2,7,6,15,2,2009-11-21,3,18,3,19,4,8.0,4.5,1.4,A
4,22,0,6,6,2009-11-22,3,16,2,8,5,4.33,3.5,1.83,D
1,9,7,19,2,2009-11-22,4,22,1,14,5,8.5,4.75,1.36,A
2,6,5,11,3,2009-11-27,1,9,7,19,2,3.2,3.25,2.25,D
2,10,5,17,3,2009-11-28,2,6,8,24,0,3.8,3.4,2.0,A
5,10,2,10,3,2009-11-28,0,23,3,9,7,4.75,3.6,1.75,A
4,18,2,13,4,2009-11-28,2,14,3,13,5,2.38,3.3,3.0,D
3,16,2,11,5,2009-11-28,2,10,5,14,3,2.1,3.4,3.4,H
0,13,6,20,4,2009-11-28,2,10,5,15,3,3.7,3.4,2.0,A
3,18,3,18,4,2009-11-28,4,23,0,6,6,4.0,3.8,1.8,D
4,16,1,7,5,2009-11-29,3,13,4,14,3,1.73,3.6,4.75,A
4,6,5,11,1,2009-11-29,5,18,0,7,5,4.75,3.5,1.75,H
2,9,5,14,3,2009-12-04,4,16,1,7,5,12.0,5.5,1.25,H
1,10,6,16,3,2009-12-05,4,11,2,10,4,4.5,3.5,1.8,H
3,15,2,12,5,2009-12-05,1,12,5,17,4,3.3,3.25,2.2,H
0,23,4,11,6,2009-12-05,5,16,2,13,3,3.0,3.25,2.38,D
5,20,0,6,5,2009-12-05,3,13,4,16,3,1.73,3.6,4.75,D
2,8,6,17,2,2009-12-05,3,6,6,15,1,6.0,4.0,1.55,D
0,13,6,20,4,2009-12-05,4,20,2,17,4,6.0,4.0,1.53,D
5,22,0,6,5,2009-12-06,3,5,4,8,3,1.62,4.0,5.0,D
2,5,8,24,0,2009-12-06,3,16,2,11,5,8.0,4.5,1.4,H
6,17,0,4,4,2009-12-11,2,4,8,24,0,1.73,3.6,4.75,D
4,13,1,7,5,2009-12-12,3,9,5,15,2,1.44,4.33,7.0,A
4,4,3,6,3,2009-12-12,1,15,5,20,4,3.5,3.3,2.1,D
1,12,5,17,4,2009-12-12,1,20,4,11,5,7.0,4.0,1.5,D
3,13,4,16,3,2009-12-12,2,10,5,15,3,3.5,3.3,2.1,H
6,13,2,12,2,2009-12-12,1,9,7,20,2,2.1,3.3,3.5,A
3,16,2,10,5,2009-12-12,5,22,0,6,5,4.5,3.5,1.8,A
4,6,5,13,1,2009-12-13,3,13,3,13,4,2.6,3.25,2.8,D
4,14,1,5,5,2009-12-13,5,20,1,16,4,4.0,3.5,1.91,A
4,11,3,12,3,2009-12-18,3,17,1,8,6,7.5,4.2,1.44,H
3,6,7,22,0,2009-12-19,4,16,1,7,5,15.0,6.5,1.18,H
2,11,5,20,3,2009-12-19,3,16,1,5,6,7.0,4.0,1.5,H
5,19,2,18,3,2009-12-19,1,12,5,17,4,2.2,3.3,3.25,D
3,8,5,17,2,2009-12-19,2,15,5,20,3,4.5,3.5,1.8,A
2,13,4,14,4,2009-12-19,6,19,0,6,4,8.0,4.5,1.4,H
2,17,4,10,4,2009-12-19,5,7,4,12,1,3.4,3.4,2.1,H
1,8,7,22,2,2009-12-20,5,2,3,6,2,3.5,3.3,2.1,H
4,22,1,8,5,2009-12-20,5,16,2,11,3,2.9,3.3,2.4,H
2,13,5,12,3,2010-01-15,4,21,0,8,6,8.0,4.5,1.4,H
4,20,2,10,4,2010-01-16,2,14,4,16,4,1.95,3.5,3.75,H
2,8,6,21,2,2010-01-16,5,17,2,12,3,7.5,4.5,1.4,H
3,7,7,22,0,2010-01-16,2,15,5,19,3,3.3,3.25,2.2,A
4,11,3,10,3,2010-01-16,6,21,0,8,4,8.5,4.33,1.4,H
3,10,5,19,2,2010-01-16,2,15,4,14,4,4.0,3.5,1.85,A
6,17,2,18,2,2010-01-16,5,7,4,13,1,3.2,3.25,2.25,H
3,17,0,4,7,2010-01-17,5,5,2,5,3,2.25,3.25,3.2,A
1,8,7,24,2,2010-01-17,3,17,1,8,6,7.5,4.5,1.4,H
5,10,3,12,2,2010-01-22,2,6,6,18,2,1.91,3.5,4.0,A
3,16,1,8,6,2010-01-23,2,11,5,19,3,1.91,3.4,4.0,D
5,16,2,11,3,2010-01-23,3,19,0,6,7,2.88,3.3,2.4,H
