away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
2,17,2,13,6,2009-10-31,2,10,3,9,5,3.75,3.1,2.1,H
0,16,3,10,7,2009-10-31,1,19,2,7,7,6.0,3.4,1.67,H
2,15,4,15,4,2009-10-31,3,8,5,15,2,2.6,2.9,3.0,A
4,10,4,14,2,2009-10-31,0,5,10,21,0,1.8,3.25,5.0,A
2,14,3,10,5,2009-10-31,2,8,6,18,2,3.1,2.9,2.5,D
2,16,2,11,6,2009-10-31,1,9,6,14,3,2.0,3.2,4.0,A
2,10,6,16,2,2009-11-01,2,13,5,21,3,4.0,3.2,2.0,H
1,19,4,15,5,2009-11-01,4,15,2,6,4,6.0,3.4,1.67,A
2,12,2,9,6,2009-11-07,1,8,7,15,2,2.9,2.9,2.65,A
3,9,5,14,2,2009-11-07,3,13,3,10,4,6.5,3.8,1.53,H
0,5,10,21,0,2009-11-07,0,15,4,11,6,10.0,4.75,1.33,D
1,9,6,13,3,2009-11-07,2,14,4,15,4,3.75,3.1,2.1,A
2,12,5,21,3,2009-11-07,4,17,2,11,4,5.25,3.5,1.7,A
3,8,5,15,2,2009-11-07,0,11,6,17,4,4.2,3.2,1.95,A
1,17,3,14,6,2009-11-07,1,21,3,12,6,3.5,3.1,2.2,D
1,16,2,6,7,2009-11-08,4,11,3,12,3,2.75,3.0,2.7,H
3,17,2,10,5,2009-11-08,1,15,2,9,7,3.75,3.2,2.05,D
4,12,3,9,3,2009-11-08,3,11,3,7,4,3.4,3.0,2.3,H
3,16,3,11,4,2009-11-20,4,20,2,15,4,5.0,3.5,1.73,H
1,15,3,7,6,2009-11-21,2,13,1,7,7,3.4,3.0,2.3,H
2,22,2,12,6,2009-11-21,1,13,3,6,6,9.0,4.2,1.4,A
2,19,2,14,6,2009-11-21,1,4,9,19,0,1.44,4.0,8.0,D
2,10,5,16,3,2009-11-21,3,8,5,16,2,3.1,2.9,2.5,H
1,7,7,13,2,2009-11-21,3,13,4,11,3,8.0,4.0,1.44,H
4,13,2,11,4,2009-11-22,1,16,3,13,6,2.7,3.0,2.75,H
3,11,3,8,4,2009-11-22,1,12,5,20,4,3.2,3.0,2.4,H
2,16,3,8,5,2009-11-22,1,9,5,10,4,3.5,3.1,2.2,A
4,20,2,15,4,2009-11-28,3,8,5,16,2,2.0,3.1,4.2,H
2,21,1,9,7,2009-11-28,3,12,3,12,4,5.5,3.5,1.67,H
2,4,8,18,0,2009-11-28,2,18,2,6,6,7.5,3.75,1.5,D
2,15,0,4,8,2009-11-28,3,13,4,11,3,4.75,3.2,1.85,H
1,13,4,16,5,2009-11-28,0,10,6,16,4,3.6,3.0,2.2,H
3,7,6,18,1,2009-11-28,2,10,4,8,4,8.5,4.2,1.4,H
1,9,5,11,4,2009-11-29,1,6,8,14,1,3.4,3.0,2.3,D
2,14,4,11,4,2009-11-29,3,17,2,15,5,6.5,3.7,1.55,D
1,9,4,7,5,2009-11-29,2,10,5,16,3,2.05,3.2,3.75,A
3,11,4,9,3,2009-12-02,3,6,7,19,0,1.75,3.3,5.0,A
3,13,4,11,3,2009-12-05,0,12,4,7,6,6.0,3.4,1.67,H
2,7,7,14,1,2009-12-05,1,16,3,13,6,5.0,3.4,1.75,H
3,19,3,15,4,2009-12-05,1,13,4,14,5,2.1,3.2,3.6,A
3,19,2,8,5,2009-12-05,2,13,4,10,4,4.33,3.2,1.91,H
0,11,5,14,5,2009-12-05,2,9,5,12,3,3.75,3.1,2.1,D
1,13,4,9,5,2009-12-05,2,20,2,13,6,3.5,3.1,2.2,H
2,9,5,16,3,2009-12-06,1,15,1,5,8,4.75,3.3,1.83,A
2,7,5,14,3,2009-12-06,2,8,8,24,0,2.55,3.1,2.88,H
2,11,3,7,5,2009-12-06,3,6,7,19,0,2.1,3.1,3.75,H
4,15,2,15,4,2009-12-06,3,16,2,9,5,2.4,3.1,3.1,H
3,9,4,11,3,2009-12-10,3,19,2,12,5,6.25,3.5,1.62,H
1,10,5,14,4,2009-12-10,1,11,4,8,5,5.0,3.4,1.75,H
1,22,2,13,7,2009-12-12,2,7,7,14,1,2.88,3.0,2.6,H
1,14,4,15,5,2009-12-12,2,8,5,15,3,3.5,3.0,2.25,H
1,14,2,8,7,2009-12-12,3,19,2,8,5,3.75,3.1,2.1,D
1,9,8,24,1,2009-12-12,2,22,3,16,5,13.0,5.25,1.25,H
2,13,4,10,4,2009-12-12,1,12,5,17,4,3.0,2.88,2.63,A
0,12,4,7,6,2009-12-13,4,17,3,19,3,3.4,3.1,2.25,A
2,22,2,11,6,2009-12-13,1,14,4,11,5,2.88,3.0,2.63,A
2,8,5,14,3,2009-12-13,3,13,4,10,3,5.5,3.5,1.67,H
3,7,6,18,1,2009-12-13,1,10,5,15,4,5.0,3.3,1.8,H
1,15,3,14,6,2009-12-13,1,11,4,8,5,4.33,3.2,1.91,A
1,13,2,7,7,2009-12-15,1,18,3,13,6,3.75,3.1,2.1,D
3,7,6,15,1,2009-12-16,2,9,6,13,2,4.2,3.1,2.0,H
2,22,3,15,5,2009-12-16,4,16,2,7,4,2.1,3.2,3.6,A
1,9,8,24,1,2009-12-16,3,16,4,19,3,19.0,6.5,1.17,H
2,11,4,11,4,2009-12-16,1,12,5,15,4,2.7,3.0,2.75,H
0,11,4,7,6,2009-12-16,1,15,3,14,6,2.1,3.1,3.75,A
1,13,4,14,5,2009-12-16,1,12,5,16,4,3.75,3.1,2.1,H
1,9,5,14,4,2009-12-16,2,15,4,9,4,6.5,3.6,1.57,D
3,16,3,8,4,2009-12-19,0,11,4,7,6,8.0,4.0,1.44,H
0,12,5,15,5,2009-12-19,3,7,6,14,1,2.88,3.0,2.6,D
1,12,5,15,4,2009-12-19,1,13,3,11,6,4.75,3.3,1.83,A
2,15,4,9,4,2009-12-19,2,11,4,11,4,3.5,3.1,2.2,H
2,20,3,14,5,2009-12-19,2,6,6,16,2,1.85,3.4,4.33,D
2,10,4,12,4,2009-12-19,2,15,3,11,5,4.0,3.2,2.0,D
1,10,4,7,5,2009-12-20,2,11,2,7,6,3.75,3.1,2.1,D
2,7,6,13,2,2009-12-20,1,25,2,10,7,10.0,4.33,1.36,H
3,16,4,18,3,2009-12-20,1,10,5,14,4,2.2,3.1,3.5,D
3,3,6,15,1,2009-12-22,3,10,3,10,4,4.0,3.2,2.0,H
2,10,4,13,4,2009-12-23,2,7,6,15,2,3.0,3.0,2.5,D
3,13,2,8,5,2009-12-23,3,16,4,12,3,4.0,3.2,2.0,H
1,12,4,13,5,2009-12-23,4,15,4,19,2,7.0,3.75,1.53,A
3,11,2,8,5,2009-12-23,3,18,2,11,5,8.5,4.0,1.44,A
1,25,2,8,7,2009-12-23,0,13,5,14,5,2.1,3.1,3.75,A
1,9,8,25,1,2009-12-23,1,10,5,14,4,6.0,3.6,1.62,D
4,6,5,12,1,2009-12-23,1,14,5,9,4,8.0,4.0,1.44,H
2,12,3,10,5,2009-12-23,1,9,4,10,5,2.7,3.0,2.75,H
0,14,3,5,7,2009-12-23,2,11,3,7,5,2.2,3.1,3.5,A
1,10,3,8,6,2010-01-13,2,9,7,24,1,2.38,3.0,3.0,D
1,11,4,12,5,2010-01-13,3,9,4,13,3,3.1,3.0,2.3,H
2,8,7,23,1,2010-01-16,3,12,2,8,5,8.0,4.0,1.44,D
3,2,6,14,1,2010-01-16,4,6,5,14,1,3.0,3.0,2.5,A
