away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
2,14,4,16,114,42,161,54,4,2009-10-31,3,18,1,8,127,42,173,53,6,7.0,3.75,1.53,A
2,12,3,12,126,46,131,45,5,2009-10-31,4,10,2,11,142,52,141,46,4,6.5,3.8,1.53,H
3,9,5,12,134,46,133,42,2,2009-11-01,1,11,5,12,127,39,104,36,4,3.8,3.1,2.1,H
2,14,4,14,159,48,144,55,4,2009-11-01,2,13,4,11,131,39,134,48,4,2.9,3.1,2.5,D
4,10,5,15,109,43,112,30,1,2009-11-01,3,9,3,8,111,49,177,55,4,8.0,4.0,1.44,H
1,26,1,9,116,36,173,63,8,2009-11-01,3,4,5,10,147,38,134,44,2,1.57,3.8,6.0,A
1,18,4,20,143,59,95,40,5,2009-11-01,3,15,3,14,181,56,152,54,4,4.0,3.1,2.05,D
3,9,5,15,157,51,108,30,2,2009-11-01,2,16,5,18,133,47,166,55,3,5.5,3.5,1.67,H
5,10,2,7,149,43,111,37,3,2009-11-01,2,18,2,13,152,57,115,49,6,5.5,3.5,1.67,D
4,7,4,11,157,52,154,54,2,2009-11-01,2,8,7,15,123,44,120,39,1,2.63,3.1,2.75,D
3,19,2,11,135,47,172,55,5,2009-11-07,3,9,5,14,133,48,128,39,2,1.85,3.4,4.33,A
2,16,3,16,118,42,160,55,5,2009-11-07,4,10,5,16,114,44,116,30,1,2.25,3.1,3.4,D
2,4,6,12,143,37,131,42,2,2009-11-08,5,9,2,6,141,44,103,35,3,4.5,3.3,1.85,H
4,13,3,13,177,57,165,56,3,2009-11-08,2,9,6,16,169,55,106,29,2,2.7,3.1,2.7,H
3,16,2,12,149,55,119,49,5,2009-11-08,0,14,5,12,116,35,105,38,5,3.1,3.1,2.4,H
3,8,6,14,117,41,116,38,1,2009-11-08,2,15,4,18,154,59,92,38,4,5.5,3.6,1.65,H
2,16,4,16,123,43,184,58,4,2009-11-08,0,27,1,8,121,35,159,62,9,5.5,3.75,1.62,D
4,10,2,10,144,54,141,44,4,2009-11-08,5,7,4,12,153,51,149,53,1,2.1,3.25,3.6,A
3,14,3,11,126,41,149,57,4,2009-11-08,1,10,4,12,125,43,135,46,5,3.8,3.2,2.05,H
2,11,3,8,117,49,173,55,5,2009-11-08,2,13,4,13,167,52,139,53,4,2.9,3.2,2.45,A
1,24,1,9,123,37,152,59,8,2009-11-21,1,12,6,17,171,57,103,31,3,1.67,3.5,5.5,A
1,10,4,11,130,41,132,42,5,2009-11-21,2,11,3,8,113,48,165,56,5,5.5,3.4,1.7,A
2,12,4,11,159,50,135,50,4,2009-11-22,3,21,2,12,133,46,163,51,5,8.0,4.0,1.44,H
2,18,4,20,155,60,94,42,4,2009-11-22,2,3,6,10,139,36,129,40,2,2.4,3.0,3.2,H
0,15,4,9,111,32,110,39,6,2009-11-22,4,12,1,7,151,53,142,47,5,7.5,3.75,1.5,H
5,6,5,13,148,52,164,56,0,2009-11-22,3,13,3,15,111,39,151,51,4,4.75,3.3,1.83,D
5,9,4,14,103,36,116,29,1,2009-11-22,4,14,3,15,168,58,166,56,3,5.25,3.4,1.73,D
4,10,2,6,139,45,104,38,4,2009-11-22,3,16,3,14,110,37,186,58,4,5.5,3.5,1.67,H
3,13,3,11,129,43,147,55,4,2009-11-22,3,13,3,13,153,55,103,45,4,5.25,3.4,1.73,H
3,11,5,18,142,51,118,37,2,2009-11-22,3,7,7,17,116,44,124,38,0,3.2,3.0,2.4,A
3,14,3,14,135,48,111,50,4,2009-11-28,2,15,5,21,151,59,91,39,3,3.2,3.2,2.3,H
1,5,6,11,134,36,126,37,3,2009-11-28,2,8,5,10,161,55,125,44,3,5.5,3.6,1.65,H
3,17,3,14,117,40,186,62,4,2009-11-29,3,13,4,17,157,53,105,33,3,2.15,3.25,3.4,A
3,6,7,17,112,45,138,41,0,2009-11-29,3,10,3,8,128,43,111,39,4,5.0,3.3,1.75,H
3,20,2,12,126,43,160,51,5,2009-11-29,0,18,4,12,106,35,122,48,6,1.91,3.4,4.0,H
3,16,1,10,154,57,139,48,6,2009-11-29,6,8,3,11,104,31,128,32,1,1.85,3.4,4.33,A
4,14,3,15,182,59,154,49,3,2009-11-29,3,12,4,13,132,48,142,52,3,3.2,3.2,2.3,H
2,12,4,11,116,50,165,59,4,2009-11-29,1,25,1,10,125,38,144,58,8,6.0,3.75,1.57,H
1,13,6,18,175,60,100,30,3,2009-11-29,6,6,4,11,143,48,164,54,0,5.25,3.6,1.67,D
4,12,2,11,110,35,147,50,4,2009-11-29,1,13,3,11,122,37,132,44,6,3.0,3.2,2.4,D
