away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
4,11,4,19,2,2009-10-23,4,11,1,6,5,6.0,3.75,1.57,H
2,6,5,13,3,2009-10-24,3,12,4,13,3,3.4,3.3,2.0,A
7,14,2,18,1,2009-10-24,2,18,2,8,6,9.0,4.75,1.3,H
0,7,9,24,1,2009-10-24,1,11,5,16,4,8.5,4.2,1.33,H
2,9,4,11,4,2009-10-24,2,13,5,18,3,4.2,3.3,1.8,A
2,31,1,7,7,2009-10-25,0,18,5,11,5,2.3,3.3,2.8,A
3,23,0,10,7,2009-10-25,5,11,3,12,2,1.57,3.4,6.0,A
4,8,4,12,2,2009-10-25,2,20,0,9,8,6.5,4.0,1.44,H
2,5,6,13,2,2009-10-25,1,11,7,19,2,2.38,3.3,2.7,H
1,10,5,15,4,2009-10-30,6,11,3,16,1,2.8,3.4,2.4,D
0,18,5,12,5,2009-10-31,4,8,4,14,2,2.4,3.3,2.88,A
3,13,4,14,3,2009-10-31,1,6,7,17,2,5.0,3.75,1.67,H
2,12,5,17,3,2009-10-31,2,24,0,7,8,15.0,7.0,1.17,H
2,22,0,9,8,2009-10-31,3,12,5,21,2,1.62,3.75,5.5,A
2,17,2,8,6,2009-11-01,2,33,1,9,7,6.5,3.75,1.5,H
4,12,1,7,5,2009-11-01,2,8,4,9,4,2.63,3.25,2.5,H
5,11,3,14,2,2009-11-01,2,9,4,13,4,2.9,3.25,2.25,H
1,12,7,19,2,2009-11-01,0,7,9,24,1,2.5,3.25,2.6,A
1,11,4,10,5,2009-11-06,3,7,5,14,2,3.75,3.4,2.0,H
0,6,9,21,1,2009-11-07,5,7,4,15,1,7.0,4.33,1.44,A
2,12,6,22,2,2009-11-07,2,11,3,11,5,3.75,3.4,2.0,A
6,10,3,15,1,2009-11-07,1,12,6,18,3,3.75,3.4,2.0,H
1,18,3,13,6,2009-11-08,0,17,5,12,5,4.0,3.4,1.91,D
1,24,0,6,9,2009-11-08,2,11,5,15,3,1.36,4.5,9.0,A
1,13,6,18,3,2009-11-08,1,11,5,16,4,5.25,3.6,1.67,H
2,34,1,9,7,2009-11-08,1,23,0,9,9,2.63,3.3,2.6,H
1,8,6,13,3,2009-11-08,4,12,2,10,4,4.33,3.5,1.83,A
5,7,4,15,1,2009-11-21,1,13,5,15,4,6.0,3.6,1.62,D
1,12,5,13,4,2009-11-21,2,13,6,23,2,2.1,3.4,3.4,A
1,14,5,17,4,2009-11-21,1,23,0,9,9,13.0,5.5,1.25,H
3,10,4,13,3,2009-11-21,0,7,8,15,2,2.0,3.4,3.75,H
1,10,6,15,3,2009-11-22,2,31,1,6,7,11.0,5.0,1.29,H
3,12,3,11,4,2009-11-22,2,18,3,14,5,4.75,3.6,1.73,D
1,12,4,13,5,2009-11-22,1,25,0,4,9,13.0,6.0,1.22,H
2,10,4,12,4,2009-11-22,5,8,4,15,1,3.5,3.3,2.1,H
2,12,5,19,3,2009-11-22,1,12,6,20,3,4.0,3.4,1.91,D
1,26,0,3,9,2009-11-27,1,10,5,17,4,1.4,4.2,7.0,A
4,11,4,13,2,2009-11-28,1,14,5,15,4,7.5,4.0,1.4,H
0,9,7,14,3,2009-11-28,1,11,6,18,3,9.0,4.0,1.36,H
2,15,6,23,2,2009-11-28,1,11,5,17,4,3.75,3.25,1.91,H
1,22,0,8,9,2009-11-28,2,13,5,20,3,1.53,3.6,6.0,A
3,14,3,14,4,2009-11-29,3,10,5,19,2,1.8,3.4,4.0,A
5,9,4,17,1,2009-11-29,2,9,5,14,3,4.0,3.4,1.8,D
2,15,4,15,4,2009-11-29,4,10,3,11,3,3.75,3.25,1.91,H
1,36,1,7,8,2009-11-29,1,13,5,15,4,1.44,4.0,7.0,A
1,10,6,17,3,2009-12-04,1,14,5,14,4,8.5,4.75,1.36,A
1,12,5,18,4,2009-12-04,2,14,5,18,3,5.5,3.8,1.62,D
3,8,6,21,1,2009-12-04,2,14,6,22,2,4.5,3.6,1.8,D
2,13,5,21,3,2009-12-04,3,10,5,14,2,4.5,3.6,1.8,H
3,11,4,14,3,2009-12-06,2,15,3,13,5,5.5,3.75,1.62,H
1,14,5,17,4,2009-12-06,1,14,4,16,5,2.8,3.4,2.4,H
0,24,0,8,10,2009-12-06,5,9,4,17,1,1.57,4.0,5.5,A
1,38,1,8,8,2009-12-06,4,11,2,9,4,1.53,4.0,6.0,H
1,27,0,5,9,2009-12-06,0,10,7,15,3,1.25,5.75,11.0,A
5,11,5,21,0,2009-12-11,1,32,2,10,7,15.0,7.0,1.17,H
2,15,3,12,5,2009-12-12,1,15,5,19,4,2.75,3.3,2.5,A
1,14,5,14,4,2009-12-12,1,26,0,5,9,6.5,4.2,1.5,H
3,16,4,14,3,2009-12-12,0,25,0,9,10,8.5,4.75,1.36,H
0,10,7,16,3,2009-12-12,3,11,5,15,2,6.0,3.8,1.57,H
1,17,3,16,6,2009-12-13,4,7,6,21,0,2.7,3.2,2.6,A
3,11,5,17,2,2009-12-13,2,13,5,20,3,2.63,3.2,2.7,A
4,12,2,9,4,2009-12-13,0,10,6,16,4,2.7,3.1,2.7,D
3,15,5,20,2,2009-12-13,2,12,5,20,3,2.9,3.3,2.4,A
3,14,4,11,3,2009-12-18,0,20,3,16,7,3.6,3.5,2.0,H
4,8,6,24,0,2009-12-19,1,14,5,14,4,12.0,4.75,1.3,H
2,11,6,22,2,2009-12-19,2,16,2,9,6,12.0,4.75,1.3,H
1,14,6,23,3,2009-12-19,0,9,7,16,3,2.8,3.25,2.5,H
1,31,2,10,7,2010-01-17,3,17,4,15,3,1.53,4.0,6.0,D
1,9,6,17,3,2010-01-17,5,11,5,22,0,3.4,3.4,2.1,H
0,26,0,10,10,2010-01-17,5,13,2,11,3,2.1,3.4,3.4,D
1,24,0,4,9,2010-01-19,3,16,5,21,2,1.44,4.33,7.0,A
1,15,5,19,4,2010-01-20,3,14,4,17,3,3.25,3.4,2.15,H
4,12,5,22,1,2010-01-22,1,22,0,3,9,13.0,7.0,1.18,H
2,10,6,20,2,2010-01-23,1,13,6,21,3,8.0,4.0,1.4,H
1,10,6,18,3,2010-01-23,0,19,3,16,7,4.2,3.5,1.8,A
5,12,2,10,3,2010-01-23,3,15,5,18,2,2.6,3.25,2.5,H
4,18,3,14,3,2010-01-23,0,9,7,16,3,2.25,3.25,3.0,A
1,17,4,13,5,2010-01-24,2,29,2,11,6,6.0,3.5,1.57,H
1,24,0,9,9,2010-01-24,3,15,4,17,3,2.0,3.25,3.5,D
4,8,6,24,0,2010-01-24,1,15,6,25,3,3.75,3.3,1.91,D
2,15,2,9,6,2010-01-24,3,13,4,10,3,1.91,3.4,3.8,D
0,9,7,14,3,2010-01-29,1,11,7,23,2,3.75,3.4,2.0,H
3,14,4,16,3,2010-01-30,1,16,5,14,4,6.0,3.75,1.57,A
0,16,6,22,4,2010-01-30,4,7,6,23,0,2.1,3.4,3.4,H
3,13,4,10,3,2010-01-30,4,19,2,13,4,4.33,3.5,1.83,H
2,15,5,23,3,2010-01-30,3,11,6,24,1,4.75,3.6,1.75,H
1,28,2,9,7,2010-01-31,3,13,2,10,5,2.2,3.3,3.25,D
2,15,5,16,3,2010-01-31,2,21,0,8,8,10.0,4.75,1.33,H
0,19,3,15,7,2010-01-31,4,12,3,12,3,4.33,3.5,1.83,D
0,25,0,3,10,2010-01-31,1,10,6,19,3,1.44,4.33,7.0,D
1,14,5,12,4,2010-02-02,4,17,2,13,4,2.4,3.3,2.9,D
0,17,6,23,4,2010-02-02,2,12,5,11,3,2.88,3.3,2.4,H
1,14,6,17,3,2010-02-03,2,25,2,10,6,12.0,6.0,1.22,H
3,8,6,23,1,2010-02-03,2,15,4,16,4,7.5,4.2,1.44,H
4,12,3,12,3,2010-02-03,1,24,0,3,9,9.5,4.75,1.33,H
2,10,5,15,3,2010-02-03,2,13,6,23,2,2.6,3.3,2.63,D
1,18,3,15,6,2010-02-03,2,20,0,6,8,9.5,4.75,1.33,H
4,13,1,9,5,2010-02-04,0,10,7,15,3,1.57,3.8,6.0,A
5,17,2,14,3,2010-02-05,1,13,6,20,3,2.4,3.4,2.8,A
4,11,4,13,2,2010-02-06,0,17,6,22,4,3.5,3.3,2.1,H
2,17,3,12,5,2010-02-06,1,16,4,17,5,2.8,3.4,2.4,H
3,6,6,22,1,2010-02-06,1,22,0,4,9,17.0,7.5,1.14,H
3,11,6,22,1,2010-02-06,1,13,6,19,3,5.25,3.75,1.65,H
2,18,0,6,8,2010-02-07,2,25,2,8,6,4.5,3.5,1.8,H
2,13,4,9,4,2010-02-07,4,13,1,9,5,3.1,3.4,2.25,A
3,11,4,14,3,2010-02-07,2,15,4,11,4,3.5,3.4,2.05,H
2,11,6,23,2,2010-02-07,0,10,7,15,3,2.4,3.4,2.8,A
4,18,2,14,4,2010-02-12,2,12,5,19,3,3.0,3.2,2.4,H
1,14,5,18,4,2010-02-13,2,14,4,10,4,7.0,4.0,1.5,H
1,10,7,21,2,2010-02-13,3,6,6,21,1,3.5,3.3,2.1,H
2,23,2,7,6,2010-02-13,0,16,6,22,4,1.73,3.75,4.5,A
2,16,1,8,7,2010-02-13,3,11,4,15,3,1.73,3.6,4.75,A
0,10,7,15,3,2010-02-14,2,20,3,15,5,8.0,4.5,1.4,H
1,23,0,4,9,2010-02-14,1,17,4,19,5,1.44,4.33,7.0,A
1,16,4,10,5,2010-02-14,3,10,7,24,0,2.75,3.1,2.63,H
4,13,1,6,5,2010-02-14,4,10,4,12,2,2.7,3.2,2.6,D
1,9,8,24,1,2010-02-17,2,16,4,19,4,6.0,3.6,1.62,H
1,16,4,16,5,2010-02-19,1,12,6,19,3,3.6,3.5,2.0,H
5,8,3,9,2,2010-02-20,4,16,3,18,3,3.5,3.4,2.05,A
2,18,3,15,5,2010-02-20,2,18,3,19,5,2.75,3.3,2.5,A
1,15,4,9,5,2010-02-20,1,16,4,10,5,2.0,3.4,3.75,D
0,13,7,22,3,2010-02-20,0,10,8,17,2,1.91,3.6,3.75,A
3,10,5,17,2,2010-02-21,2,25,1,6,7,13.0,6.5,1.2,H
3,8,5,16,2,2010-02-21,4,12,1,5,5,13.0,5.25,1.25,D
3,11,6,22,1,2010-02-21,1,19,0,3,9,17.0,7.5,1.14,D
1,10,8,22,1,2010-02-21,2,17,1,9,7,13.0,6.5,1.2,H
1,12,5,16,4,2010-02-26,3,9,5,17,2,2.8,3.25,2.5,A
1,17,4,14,5,2010-02-27,0,14,6,18,4,4.75,3.6,1.73,A
2,14,4,10,4,2010-02-27,3,10,5,20,2,1.91,3.4,4.0,A
2,14,4,13,4,2010-02-27,0,9,9,22,1,2.7,3.2,2.63,H
4,10,3,9,3,2010-02-28,2,24,1,5,7,12.0,5.5,1.25,H
4,14,1,7,5,2010-02-28,2,19,2,12,6,2.75,3.2,2.6,A
0,8,9,18,1,2010-02-28,2,16,0,4,8,17.0,7.5,1.14,H
3,13,4,17,3,2010-02-28,4,12,5,18,1,2.75,3.2,2.6,D
1,15,4,18,5,2010-02-28,2,17,1,9,7,8.0,4.5,1.4,H
0,12,7,19,3,2010-03-06,2,15,4,10,4,6.5,4.0,1.5,H
3,9,5,18,2,2010-03-06,3,10,5,17,2,3.1,3.4,2.25,D
0,10,8,20,2,2010-03-06,1,16,4,13,5,6.0,4.0,1.53,H
2,18,0,3,8,2010-03-06,4,14,3,16,3,1.57,4.0,5.5,H
2,15,4,13,4,2010-03-07,1,19,3,13,6,5.5,4.0,1.57,H
4,15,1,9,5,2010-03-07,1,12,4,14,5,2.3,3.4,3.0,A
2,23,1,4,7,2010-03-07,5,12,4,17,1,1.4,4.75,6.5,A
0,14,5,18,5,2010-03-07,4,7,4,12,2,3.9,3.4,1.95,H
2,16,1,9,7,2010-03-07,0,8,9,20,1,1.4,4.75,7.0,A
3,10,5,17,2,2010-03-12,2,13,1,6,7,12.0,5.5,1.25,H
0,8,9,19,1,2010-03-13,2,18,3,9,5,21.0,7.0,1.14,H
1,19,2,10,7,2010-03-13,3,14,3,15,4,3.1,3.3,2.3,A
0,13,5,17,5,2010-03-13,0,11,5,15,5,3.4,3.4,2.1,A
4,6,4,12,2,2010-03-13,2,13,5,13,3,3.1,3.3,2.3,A
2,17,1,5,7,2010-03-14,2,26,0,2,8,3.75,3.5,1.91,H
1,16,4,14,5,2010-03-14,4,16,1,10,5,7.0,4.0,1.5,D
0,12,7,20,3,2010-03-14,4,8,5,18,1,3.0,3.2,2.4,A
4,10,5,18,1,2010-03-14,0,11,8,21,2,3.4,3.4,2.1,H
0,11,5,14,5,2010-03-19,0,13,6,18,4,4.75,3.6,1.73,H
3,13,3,15,4,2010-03-20,2,13,4,14,4,3.5,3.5,2.0,H
2,13,1,6,7,2010-03-20,2,17,2,9,6,4.0,3.4,1.91,D
3,5,4,10,3,2010-03-20,0,13,7,19,3,2.4,3.4,2.8,A
2,10,6,14,2,2010-03-21,3,10,5,16,2,3.2,3.4,2.2,D
0,12,5,16,5,2010-03-21,1,18,2,8,7,5.0,3.75,1.67,H
2,24,2,10,6,2010-03-21,4,9,5,17,1,1.44,4.33,7.0,A
2,27,0,3,8,2010-03-21,0,10,9,22,1,1.2,7.0,11.0,A
4,10,4,13,2,2010-03-26,2,12,4,17,4,5.0,3.75,1.67,H
2,15,4,14,4,2010-03-27,2,22,2,10,6,8.5,4.75,1.36,H
0,17,5,17,5,2010-03-27,0,12,5,16,5,2.9,3.3,2.4,H
4,8,5,14,1,2010-03-27,2,14,1,7,7,15.0,6.0,1.2,H
0,13,7,21,3,2010-03-27,3,6,6,17,1,4.5,3.5,1.8,H
1,17,2,8,7,2010-03-28,1,31,0,3,9,13.0,5.75,1.22,H
5,15,1,11,4,2010-03-28,0,10,6,17,4,2.2,3.3,3.25,D
0,7,10,26,0,2010-03-28,2,8,4,10,4,13.0,5.25,1.25,H
3,17,2,10,5,2010-03-28,3,10,5,13,2,1.57,3.8,6.0,A
3,7,5,16,2,2010-03-31,6,14,1,11,3,7.0,4.2,1.4,H
0,17,3,11,7,2010-04-02,3,6,6,17,1,2.35,3.4,2.9,H
2,10,3,8,5,2010-04-03,2,25,1,11,7,7.5,4.2,1.44,H
3,8,6,17,1,2010-04-03,0,15,6,19,4,7.0,4.0,1.5,H
0,7,10,27,0,2010-04-03,0,14,5,18,5,8.5,4.75,1.36,H
1,17,1,7,8,2010-04-03,2,11,6,16,2,1.5,4.0,7.0,A
1,33,0,3,9,2010-04-04,3,10,5,16,2,1.2,6.0,15.0,A
2,14,4,17,4,2010-04-04,5,15,1,11,4,5.5,4.0,1.57,D
1,10,5,14,4,2010-04-04,2,16,4,15,4,5.25,3.75,1.65,H
3,18,2,12,5,2010-04-04,0,12,7,19,3,1.33,4.75,9.0,A
2,9,6,17,2,2010-04-09,0,7,10,30,0,1.8,3.75,4.2,H
0,19,4,17,6,2010-04-10,3,12,4,17,3,3.4,3.4,2.1,H
2,27,0,10,8,2010-04-10,1,9,6,16,3,1.57,3.8,6.0,D
1,18,4,15,5,2010-04-10,3,9,6,20,1,2.3,3.4,3.0,D
0,18,5,18,5,2010-04-10,1,17,1,7,8,11.0,5.25,1.29,H
2,11,6,16,2,2010-04-11,0,33,0,2,10,23.0,8.0,1.11,H
0,10,8,19,2,2010-04-11,0,16,4,14,6,9.0,5.0,1.33,H
5,14,1,10,4,2010-04-11,2,19,2,12,6,6.5,4.2,1.5,D
3,8,6,16,1,2010-04-11,1,10,4,10,5,6.0,3.8,1.57,A
1,17,1,7,8,2010-04-13,2,26,0,9,8,3.0,3.4,2.3,H
0,11,9,30,1,2010-04-13,2,19,3,14,5,13.0,5.25,1.25,H
2,12,4,16,4,2010-04-13,1,9,7,20,2,2.9,3.3,2.4,D
2,8,6,16,2,2010-04-14,3,10,5,14,2,3.6,3.4,2.05,A
3,9,6,20,1,2010-04-14,6,13,1,10,3,8.5,4.75,1.36,H
3,17,2,11,5,2010-04-14,0,17,5,17,5,1.73,3.6,4.75,D
2,8,7,22,1,2010-04-14,0,19,4,14,6,5.5,3.8,1.62,H
0,18,4,14,6,2010-04-14,1,9,4,10,5,3.25,3.3,2.2,D
0,36,0,2,10,2010-04-14,0,9,8,21,2,1.17,7.0,15.0,A
2,19,3,12,5,2010-04-18,0,35,0,2,10,19.0,8.0,1.13,H
0,12,9,33,1,2010-04-18,3,12,5,15,2,7.0,4.33,1.44,H
3,11,4,16,3,2010-04-18,1,17,5,19,4,3.25,3.4,2.15,D
1,16,3,11,6,2010-04-18,4,17,2,13,4,9.0,5.0,1.33,H
2,10,3,9,5,2010-04-18,3,8,6,21,1,2.7,3.4,2.5,A
6,15,0,8,4,2010-04-18,1,17,1,5,8,6.5,4.2,1.5,H
0,21,4,15,6,2010-04-18,2,10,6,19,2,2.88,3.3,2.4,A
2,7,6,16,2,2010-04-18,2,8,8,26,0,2.88,3.3,2.38,H
2,25,0,8,8,2010-04-18,0,9,8,20,2,1.57,4.0,6.0,A
4,19,2,14,4,2010-05-02,2,26,0,8,8,3.6,3.3,2.05,D
2,17,4,17,4,2010-05-02,5,15,1,10,4,6.0,4.0,1.53,H
3,6,7,24,0,2010-05-02,1,15,4,13,5,14.0,6.25,1.2,H
3,13,5,15,2,2010-05-02,2,19,3,15,5,7.0,4.33,1.44,H
1,17,1,4,8,2010-05-02,4,9,3,12,3,1.5,4.2,6.0,A
0,37,0,2,10,2010-05-02,2,5,7,17,1,1.18,6.5,15.0,A
0,8,8,21,2,2010-05-02,0,26,3,15,7,10.0,5.75,1.25,H
2,11,6,22,2,2010-05-02,1,13,3,9,6,6.0,4.0,1.53,D
2,10,7,24,1,2010-05-02,0,11,9,35,1,2.5,3.4,2.7,A
4,19,2,14,4,2010-08-07,2,17,5,22,3,1.75,3.5,4.75,A
0,10,8,23,2,2010-08-07,2,22,2,15,6,6.0,3.8,1.57,H
1,9,7,22,2,2010-08-07,2,6,7,19,1,3.9,3.5,1.91,H
2,13,3,11,5,2010-08-08,4,19,1,10,5,4.75,3.6,1.75,H
0,37,0,3,10,2010-08-08,1,16,4,14,5,1.62,3.7,5.75,D
2,24,0,6,8,2010-08-08,4,9,3,12,3,1.91,3.5,3.9,D
2,13,6,17,2,2010-08-08,3,13,5,20,2,3.9,3.5,1.91,H
3,16,4,18,3,2010-08-14,1,35,0,5,9,17.0,7.0,1.15,H
2,16,3,13,5,2010-08-14,3,22,0,7,7,5.5,3.8,1.6,D
2,17,5,23,3,2010-08-14,2,16,1,3,7,6.0,4.0,1.53,D
2,23,2,14,6,2010-08-14,1,8,7,21,2,2.25,3.4,3.1,H
4,8,3,11,3,2010-08-15,2,14,3,10,5,5.5,3.5,1.67,H
2,6,6,17,2,2010-08-15,0,8,9,25,1,2.5,3.25,2.8,A
4,7,4,13,2,2010-08-21,3,16,4,19,3,5.5,4.0,1.57,H
3,15,1,3,6,2010-08-21,2,17,5,21,3,1.62,3.75,5.5,A
4,17,2,10,4,2010-08-22,2,20,3,13,5,2.5,3.3,2.75,D
4,19,0,7,6,2010-08-22,4,22,1,12,5,7.0,4.33,1.44,H
0,9,9,27,1,2010-08-22,2,16,3,11,5,8.5,4.6,1.36,H
1,13,7,20,2,2010-08-22,1,9,6,20,3,3.7,3.4,2.0,A
3,15,3,15,4,2010-08-27,0,6,10,29,0,1.8,3.75,4.2,A
1,11,6,22,3,2010-08-28,4,8,4,13,2,4.5,3.5,1.8,H
3,18,4,20,3,2010-08-28,2,13,5,21,3,2.5,3.3,2.75,D
4,24,0,9,6,2010-08-29,1,15,6,19,3,1.33,5.0,9.0,D
2,17,5,23,3,2010-08-29,4,17,2,10,4,8.0,4.5,1.4,H
2,18,3,11,5,2010-08-29,3,15,1,2,6,7.0,4.0,1.5,H
0,6,10,29,0,2010-09-11,1,35,0,5,9,19.0,11.0,1.08,H
2,15,6,26,2,2010-09-11,4,16,4,21,2,6.5,4.5,1.44,H
3,14,4,19,3,2010-09-11,4,25,0,10,6,13.0,6.5,1.2,H
2,18,1,1,7,2010-09-11,0,11,7,24,3,1.36,4.5,9.0,A
2,15,4,15,4,2010-09-12,3,17,3,15,4,3.5,3.3,2.1,H
3,21,2,10,5,2010-09-12,4,10,3,10,3,2.38,3.25,3.0,H
4,9,3,10,3,2010-09-18,2,15,6,26,2,3.1,3.4,2.25,D
2,19,5,20,3,2010-09-18,0,5,10,29,0,2.3,3.4,3.0,A
1,34,0,5,9,2010-09-19,3,19,3,11,4,1.75,3.6,4.6,A
2,17,1,2,7,2010-09-19,2,18,4,16,4,1.57,4.0,5.75,D
5,12,2,9,3,2010-09-19,2,15,5,22,3,2.2,3.4,3.2,A
0,10,7,22,3,2010-09-19,2,13,5,16,3,7.5,4.5,1.4,H
2,16,4,16,4,2010-09-25,5,11,2,9,3,4.33,3.5,1.83,H
3,16,4,16,3,2010-09-25,2,23,4,21,4,3.6,3.5,2.0,H
3,20,1,9,6,2010-09-25,5,23,0,9,5,8.0,4.2,1.36,D
1,35,0,6,9,2010-09-25,3,15,1,2,6,2.5,3.25,2.8,D
0,7,10,32,0,2010-09-26,4,9,3,10,3,7.0,4.33,1.44,H
2,20,4,13,4,2010-09-26,2,15,5,21,3,2.5,3.3,2.8,H
0,8,10,30,0,2010-10-01,3,13,5,22,2,7.5,4.5,1.4,D
1,18,5,21,4,2010-10-02,4,10,3,11,3,3.5,3.4,2.05,H
2,16,4,15,4,2010-10-03,2,30,0,8,8,14.0,6.5,1.18,A
2,17,5,18,3,2010-10-03,4,12,2,9,4,7.5,4.5,1.4,H
2,24,4,23,4,2010-10-03,5,16,3,20,2,5.75,3.8,1.6,D
0,13,6,16,4,2010-10-03,5,24,0,10,5,17.0,8.5,1.13,H
4,17,1,10,5,2010-10-03,4,15,1,4,5,5.5,3.8,1.62,H
3,11,3,10,4,2010-10-16,2,29,1,10,7,13.0,6.5,1.2,H
