Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Unnamed: 58,Unnamed: 59,Unnamed: 60,PSH,PSD,PSA,PSCH,PSCD,PSCA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
P1,14/08/09,Leixoes,Belenenses,0,0,D,0.0,0.0,D,2.1,3.2,3.75,1.8,3.3,4.1,1.9,3.25,3.75,1.9,3.1,3.8,1.83,3.2,3.75,1.95,3.2,3.6,1.91,3.1,3.6,2.0,3.0,3.75,1.9,3.1,3.75,1.91,3.2,3.75,3.0,2.26,2.04,3.2,3.1,3.8,3.59,3.0,2.38,2.34,1.55,1.54,2.0,-0.5,2.23,2.23,1.65,1.65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P1,15/08/09,Nacional,Sp Lisbon,1,1,D,1.0,0.0,H,3.6,3.25,2.1,3.6,3.2,1.95,3.6,3.1,2.0,3.6,3.0,2.0,3.5,3.2,1.91,3.3,3.2,2.05,3.1,3.1,2.1,3.5,3.0,2.1,3.25,3.1,2.1,3.3,3.1,2.1,19.0,3.8,3.46,3.27,3.15,2.2,2.05,18.0,2.35,2.2,1.65,1.61,11.0,0.0,2.5,2.39,1.6,1.51,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P1,15/08/09,Sp Braga,Academica,1,0,H,0.0,0.0,D,1.62,3.6,6.0,1.6,3.4,5.5,1.65,3.4,5.0,1.6,3.4,5.2,1.62,3.5,4.5,1.6,3.5,5.2,1.67,3.2,4.8,1.73,3.4,4.5,1.67,3.4,4.5,1.62,3.5,5.0,18.0,1.7,1.63,3.68,3.44,6.0,5.25,18.0,2.45,2.34,1.57,1.54,11.0,-0.75,1.9,1.88,2.02,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P1,16/08/09,Benfica,Maritimo,1,1,D,0.0,1.0,A,1.44,4.0,8.0,1.35,4.2,8.0,1.4,4.0,7.5,1.35,4.0,8.0,1.36,4.0,7.0,1.4,4.0,7.5,1.4,3.75,7.0,1.44,3.75,7.5,1.44,3.8,7.0,1.44,3.75,7.0,18.0,1.45,1.4,4.35,4.02,8.0,7.3,18.0,2.14,2.01,1.8,1.74,12.0,0.0,1.14,1.12,5.5,5.21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P1,16/08/09,Leiria,Rio Ave,1,1,D,0.0,1.0,A,2.2,3.2,3.4,2.3,2.9,3.1,2.2,3.0,3.2,2.2,2.9,3.2,2.1,3.1,3.1,2.05,3.1,3.4,2.15,3.1,3.0,2.25,2.88,3.4,2.1,3.0,3.25,2.1,3.1,3.3,17.0,2.3,2.18,3.2,3.04,3.4,3.23,18.0,2.5,2.34,1.57,1.54,11.0,0.0,1.57,1.53,2.43,2.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P1,16/08/09,Naval,Olhanense,0,0,D,0.0,0.0,D,2.1,3.25,3.6,2.0,3.1,3.6,2.0,3.1,3.6,1.9,3.1,3.8,2.0,3.1,3.3,2.05,3.1,3.4,1.95,3.1,3.5,2.0,3.0,3.75,2.0,3.1,3.6,2.0,3.2,3.4,14.0,2.11,2.03,3.25,3.13,3.65,3.52,16.0,2.5,2.37,1.57,1.54,10.0,-0.5,2.11,2.09,1.82,1.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P1,16/08/09,Pacos Ferreira,Porto,1,1,D,1.0,0.0,H,8.0,4.0,1.44,7.25,3.65,1.45,6.5,3.6,1.5,6.3,3.5,1.5,6.5,3.6,1.44,6.75,3.75,1.45,6.5,3.6,1.44,6.0,3.6,1.53,6.5,3.6,1.5,6.0,3.5,1.53,16.0,8.0,6.98,4.0,3.65,1.53,1.47,17.0,2.12,1.99,1.8,1.75,11.0,1.0,2.05,2.03,1.89,1.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P1,17/08/09,Setubal,Guimaraes,0,0,D,0.0,0.0,D,3.0,3.0,2.5,2.65,2.9,2.65,2.6,3.0,2.6,2.6,3.0,2.6,2.5,3.1,2.5,2.7,3.0,2.5,-1.0,-1.0,-1.0,2.75,3.0,2.5,2.8,3.0,2.4,2.7,3.0,2.5,17.0,3.2,2.8,3.1,2.99,2.5,2.46,16.0,2.5,2.33,1.57,1.54,9.0,0.0,2.2,2.06,1.8,1.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P1,21/08/09,Olhanense,Leiria,0,0,D,0.0,0.0,D,2.15,3.1,3.6,2.2,2.8,3.45,2.1,3.0,3.4,2.25,2.9,3.1,2.0,3.2,3.2,2.05,2.9,3.7,2.1,3.0,3.2,2.2,2.88,3.6,2.0,3.0,3.6,2.1,3.0,3.4,25.0,2.34,2.14,3.2,3.04,3.7,3.4,21.0,2.5,2.33,1.6,1.54,12.0,-0.25,1.95,1.91,1.95,1.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P1,22/08/09,Academica,Pacos Ferreira,1,1,D,1.0,1.0,D,2.3,3.1,3.0,2.4,2.75,3.1,2.3,3.0,3.0,2.2,3.0,3.1,2.2,3.2,2.8,2.3,2.85,3.15,2.25,3.0,2.9,2.2,3.0,3.4,2.25,3.0,3.0,2.3,3.0,3.0,23.0,2.4,2.3,3.2,3.02,3.46,3.07,19.0,2.51,2.33,1.6,1.56,9.0,-0.25,1.99,1.94,1.93,1.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
