away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
4,8,4,11,2,2009-11-27,5,5,4,10,1,2.63,3.0,2.63,A
1,31,1,7,8,2009-11-28,5,12,2,10,3,2.3,3.2,2.9,D
2,4,6,18,2,2009-11-29,4,10,5,15,1,4.0,3.2,1.91,H
3,14,3,11,4,2009-11-29,5,5,4,13,1,2.5,3.0,2.8,D
1,7,6,15,3,2009-11-29,2,14,3,17,5,5.5,3.5,1.6,D
2,9,6,19,2,2009-11-29,4,9,4,11,2,3.75,3.1,2.0,D
6,11,1,8,3,2009-11-29,2,19,2,8,6,11.0,5.0,1.25,H
5,14,2,9,3,2009-11-30,1,15,1,5,8,7.5,3.8,1.44,H
1,20,2,8,7,2009-12-04,3,10,4,11,3,1.85,3.3,4.5,A
1,16,1,5,8,2009-12-05,2,10,6,20,2,1.8,3.3,4.2,D
4,9,4,11,2,2009-12-05,1,8,6,16,3,3.2,3.0,2.25,H
5,7,4,15,1,2009-12-05,5,11,2,9,3,4.2,3.3,1.8,D
4,13,4,14,2,2009-12-06,1,30,1,6,8,11.0,6.0,1.2,H
4,5,5,12,1,2009-12-06,3,15,3,12,4,5.5,3.6,1.57,H
2,14,3,17,5,2009-12-07,4,13,3,10,3,2.75,3.0,2.5,A
5,11,2,9,3,2009-12-07,1,4,7,21,2,1.65,3.5,5.0,A
2,16,2,15,6,2009-12-11,3,8,5,11,2,2.75,3.0,2.75,H
1,33,1,6,8,2009-12-12,3,7,6,17,1,1.4,4.33,8.5,D
3,14,4,12,3,2009-12-12,5,12,1,7,4,8.0,4.0,1.44,A
3,11,5,20,2,2009-12-13,3,12,5,17,2,4.75,3.3,1.83,H
6,10,2,9,2,2009-12-13,3,19,3,14,4,5.0,3.4,1.75,A
1,4,7,22,2,2009-12-13,1,21,2,9,7,21.0,7.5,1.13,H
1,9,5,14,4,2009-12-13,2,15,1,5,7,11.0,4.5,1.33,D
3,11,4,14,3,2009-12-14,6,5,4,15,0,2.4,3.0,3.2,A
3,12,1,4,6,2009-12-18,2,10,5,12,3,1.91,3.3,4.2,A
5,11,2,9,3,2009-12-19,2,12,4,14,4,4.75,3.3,1.83,H
5,10,2,8,3,2009-12-19,2,8,4,11,4,1.83,3.4,4.5,A
1,20,2,8,7,2009-12-20,2,27,1,7,7,3.2,3.2,2.3,H
6,4,4,13,0,2009-12-20,2,15,4,12,4,4.2,3.2,1.95,H
3,14,4,15,3,2009-12-20,1,16,3,16,6,4.2,3.3,1.91,H
2,19,4,15,4,2009-12-20,1,3,7,16,2,1.83,3.4,4.5,H
3,8,6,18,1,2009-12-21,2,11,6,22,2,3.3,3.1,2.3,D
1,20,2,17,7,2010-01-08,3,11,1,3,6,5.5,3.4,1.7,H
2,10,4,14,4,2010-01-09,2,20,4,16,4,3.1,3.1,2.25,A
2,24,1,7,7,2010-01-09,5,9,3,10,2,1.62,3.5,5.5,A
3,12,5,20,2,2010-01-09,5,10,2,8,3,9.0,4.33,1.33,H
2,8,4,9,4,2010-01-10,3,16,4,17,3,3.75,3.1,1.95,H
2,10,5,12,3,2010-01-10,4,8,6,19,0,2.88,3.1,2.38,D
2,12,4,12,4,2010-01-10,1,16,3,8,6,10.0,5.25,1.25,H
1,6,6,14,3,2010-01-11,6,4,4,10,0,3.5,3.1,2.05,D
2,5,6,14,2,2010-01-16,2,10,3,11,5,7.0,3.7,1.53,D
2,8,4,10,4,2010-01-16,5,7,5,17,0,3.2,3.1,2.3,H
2,10,5,12,3,2010-01-16,1,19,2,9,7,12.0,5.5,1.25,D
1,18,3,18,6,2010-01-16,5,8,2,6,3,7.0,3.7,1.53,H
3,12,1,3,6,2010-01-17,2,17,4,16,4,1.95,3.2,4.2,A
3,9,6,20,1,2010-01-17,6,3,4,9,0,3.2,3.1,2.3,A
2,23,1,6,7,2010-01-17,2,19,4,15,4,1.7,3.6,5.0,A
2,13,4,13,4,2010-01-17,4,8,4,10,2,3.5,3.1,2.2,A
5,11,1,7,4,2010-01-29,3,13,1,3,6,3.2,3.0,2.4,H
2,10,3,11,5,2010-01-30,2,23,1,6,7,10.0,4.75,1.33,H
5,8,4,16,1,2010-01-30,1,13,4,11,5,4.2,3.3,1.91,H
2,19,2,10,6,2010-01-30,1,18,4,21,5,1.83,3.4,4.5,A
5,4,5,12,0,2010-01-30,2,6,5,10,3,3.5,3.0,2.25,H
1,17,5,18,4,2010-01-31,3,10,5,13,2,3.25,3.0,2.38,H
3,8,5,12,2,2010-01-31,3,7,5,15,2,3.0,3.0,2.5,D
2,18,4,18,4,2010-02-01,3,12,5,16,2,2.88,3.0,2.6,A
1,13,3,8,6,2010-02-03,2,23,1,6,7,13.0,5.25,1.25,H
2,20,1,5,7,2010-02-06,4,9,4,15,2,1.33,4.75,10.0,D
1,16,5,16,4,2010-02-06,4,11,2,8,4,8.0,4.33,1.4,A
3,11,4,11,3,2010-02-07,2,11,3,12,5,4.2,3.2,1.85,A
1,11,4,11,5,2010-02-07,2,16,4,17,4,3.4,3.1,2.1,H
1,17,5,25,4,2010-02-07,5,8,4,15,1,2.63,3.0,2.63,H
2,4,5,8,3,2010-02-07,2,20,2,10,6,11.0,6.0,1.2,H
3,10,6,16,1,2010-02-07,4,8,4,11,2,3.75,3.2,1.95,H
3,12,1,3,6,2010-02-08,5,4,5,12,0,1.6,3.5,5.5,A
3,11,3,9,4,2010-02-12,3,12,3,9,4,2.0,3.2,4.0,D
4,5,6,15,0,2010-02-13,3,21,0,4,7,17.0,6.5,1.17,H
2,20,2,8,6,2010-02-13,3,10,6,17,1,1.44,4.33,7.0,D
4,9,4,15,2,2010-02-14,1,16,4,14,5,4.75,3.3,1.83,D
5,9,4,16,1,2010-02-14,1,10,5,12,4,5.0,3.6,1.6,D
3,9,4,10,3,2010-02-14,1,16,5,20,4,3.75,3.25,2.05,D
2,14,4,16,4,2010-02-14,2,14,1,3,7,6.5,3.8,1.53,H
1,11,4,13,5,2010-02-15,2,4,5,9,3,2.5,3.0,3.0,D
2,15,5,20,3,2010-02-19,1,14,5,17,4,3.3,3.3,2.2,D
4,10,5,16,1,2010-02-20,2,11,3,11,5,5.5,3.5,1.67,H
3,10,3,8,4,2010-02-20,5,10,3,15,2,1.83,3.4,4.5,D
2,14,1,4,7,2010-02-21,2,19,2,7,6,4.33,3.2,1.83,H
4,12,2,8,4,2010-02-21,4,9,4,11,2,3.3,3.1,2.3,A
3,3,5,9,2,2010-02-21,6,11,3,17,1,3.3,3.1,2.3,A
2,15,4,15,4,2010-02-22,3,4,7,15,0,2.5,3.0,3.0,A
2,12,3,11,5,2010-02-26,1,12,5,14,4,2.9,3.0,2.55,A
3,21,0,4,7,2010-02-27,4,8,5,14,1,1.36,4.5,9.0,A
2,14,5,18,3,2010-02-27,3,4,4,8,3,2.5,3.0,3.0,H
5,10,3,15,2,2010-02-27,2,15,1,8,7,11.0,4.5,1.33,H
3,8,5,11,2,2010-02-28,1,16,4,15,5,3.75,3.1,2.1,A
5,11,4,18,1,2010-02-28,4,11,2,9,4,4.5,3.4,1.83,H
2,24,1,7,7,2010-02-28,3,8,3,6,4,2.1,3.2,3.6,H
