away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
3,16,5,21,96,48,115,55,2,5,7,3,9,120,56,82,38,2,3.8,3.3,2.0,H
5,12,1,9,116,55,88,34,4,2,8,6,17,117,57,77,39,2,2.3,3.3,3.1,D
2,16,2,8,99,40,130,65,6,3,9,5,13,108,55,108,42,2,2.8,3.25,2.5,D
2,20,1,8,69,33,151,87,7,4,5,6,16,106,60,100,45,0,1.29,5.0,11.0,D
3,10,5,16,121,58,76,38,2,5,7,5,15,97,56,102,43,0,3.5,3.3,2.1,H
2,15,6,21,95,46,118,58,2,4,9,4,11,110,59,120,49,2,3.6,3.75,1.91,A
5,8,2,7,115,52,88,41,3,5,12,1,9,109,51,91,34,4,3.2,3.2,2.3,D
3,5,6,14,117,64,91,43,1,4,17,0,7,102,52,140,83,6,11.0,5.25,1.29,H
3,14,2,7,116,51,119,61,5,3,12,4,14,101,49,71,39,3,2.38,3.25,3.0,D
3,20,1,10,80,38,139,83,6,4,14,1,7,89,36,103,43,5,1.83,3.6,4.2,H
4,16,0,6,102,52,134,79,6,6,6,2,8,119,53,86,38,2,1.75,3.7,4.5,H
3,13,4,15,100,51,75,37,3,3,16,2,10,83,39,130,78,5,12.0,5.5,1.25,H
5,8,4,12,100,58,102,47,1,4,12,2,7,121,51,117,59,4,6.5,3.6,1.57,H
4,9,4,11,109,60,108,44,2,3,4,6,14,116,67,91,45,1,2.6,3.2,2.7,A
4,14,1,8,87,36,105,45,5,6,10,1,9,112,52,91,33,3,2.7,3.2,2.6,D
3,10,5,15,113,55,79,42,2,2,15,5,17,86,39,118,58,3,4.5,3.4,1.83,D
5,7,2,8,129,58,91,40,3,3,18,2,11,76,38,131,83,5,9.0,4.5,1.36,H
3,12,5,17,107,56,74,35,2,4,16,1,10,83,33,109,48,5,5.5,3.5,1.67,H
4,14,1,6,91,46,145,82,5,5,7,4,12,107,65,107,49,1,1.4,4.5,7.5,A
6,12,1,11,122,57,88,34,3,4,14,1,6,119,50,123,67,5,4.0,3.4,1.91,H
3,4,6,14,119,65,100,48,1,2,14,5,16,83,39,118,56,3,3.4,3.4,2.1,A
3,9,4,10,113,59,108,43,3,4,10,4,12,106,50,82,45,2,2.25,3.3,3.2,H
4,10,4,13,106,51,93,47,2,4,7,3,11,143,61,81,33,3,5.25,3.6,1.67,A
4,17,1,11,84,33,107,46,5,3,9,5,12,116,58,97,41,2,2.4,3.25,2.9,D
4,16,0,4,115,48,129,72,6,3,5,5,13,118,69,91,43,2,2.4,3.25,2.9,D
2,20,2,10,73,37,152,93,6,5,12,2,13,120,54,80,35,3,1.53,4.0,6.0,A
1,13,6,16,80,37,117,55,3,4,13,1,6,99,50,142,80,5,10.0,5.0,1.3,H
4,8,5,15,111,67,106,45,1,2,13,6,19,100,50,75,34,2,3.6,3.25,2.1,D
3,16,1,6,96,54,145,80,6,4,16,1,10,86,31,108,46,5,1.91,3.4,4.0,A
5,14,0,5,110,51,132,73,5,4,7,4,13,147,64,80,33,2,2.7,3.25,2.6,A
4,9,5,16,111,67,101,43,1,3,6,5,14,119,67,90,44,2,3.8,3.3,2.0,A
5,13,3,16,130,60,81,35,2,2,19,1,6,92,52,150,81,7,11.0,5.75,1.25,H
3,14,5,19,99,51,80,39,2,1,13,6,16,90,44,109,55,3,3.25,3.25,2.25,H
2,21,2,11,70,36,149,91,6,4,8,4,10,98,45,97,38,2,1.62,3.75,5.5,H
3,12,4,14,101,48,92,45,3,2,20,3,13,73,37,155,96,5,15.0,6.0,1.2,H
2,7,6,16,124,69,96,49,2,4,16,1,12,96,35,102,43,5,5.75,3.8,1.62,D
4,8,4,10,104,48,93,39,2,3,11,5,17,117,72,106,45,2,2.38,3.25,3.0,A
1,12,5,13,89,44,108,56,4,5,13,3,19,142,65,79,35,2,3.7,3.4,2.0,A
1,25,1,7,92,53,156,83,8,5,13,0,4,108,54,126,70,5,1.83,3.5,4.33,A
5,13,4,22,144,71,84,39,1,4,8,3,8,112,51,91,39,3,3.75,3.4,2.0,H
5,13,1,10,94,36,106,46,4,1,27,1,7,93,54,158,84,8,10.0,4.75,1.33,H
3,7,5,15,135,58,80,37,2,4,13,2,16,93,40,109,48,4,3.75,3.3,2.0,A
2,6,6,15,129,71,90,44,2,3,14,5,18,95,48,83,40,2,3.2,3.3,2.25,H
1,32,1,7,96,54,161,89,8,2,21,2,11,70,34,170,105,6,2.88,3.4,2.38,D
3,8,3,7,119,56,94,42,4,4,13,1,7,106,54,120,68,5,3.5,3.3,2.1,D
2,7,5,14,140,61,82,36,3,3,13,5,17,95,48,85,39,2,2.63,3.25,2.63,H
3,12,3,16,96,42,115,55,4,3,11,4,14,112,59,85,39,3,2.4,3.3,2.88,A
3,11,5,17,116,72,108,50,2,2,22,2,12,69,33,167,105,6,13.0,7.0,1.18,D
5,13,1,8,109,56,111,64,4,3,11,3,16,90,44,111,57,4,2.88,3.3,2.4,H
1,32,1,7,97,51,143,81,8,3,11,4,13,107,58,79,39,3,1.36,4.6,8.5,A
3,11,5,16,97,50,79,34,2,3,9,3,8,118,57,92,40,4,4.5,3.3,1.85,H
4,13,5,23,135,68,92,43,1,2,6,6,15,120,66,90,45,2,2.88,3.3,2.4,A
2,4,7,17,130,72,96,48,1,1,6,6,14,134,60,88,38,3,4.5,3.4,1.83,H
2,10,5,13,109,61,83,43,3,4,12,2,8,99,51,105,55,4,5.5,3.75,1.62,H
2,8,6,14,96,49,69,28,2,3,13,5,20,133,66,97,46,2,4.0,3.2,2.0,H
3,10,2,7,108,54,93,41,5,1,31,1,6,101,53,140,78,8,9.0,5.0,1.33,D
3,10,3,16,88,40,107,54,4,4,11,4,15,124,71,105,51,2,2.25,3.3,3.1,A
3,21,2,12,67,31,174,104,5,1,13,5,14,87,46,109,57,4,1.44,4.33,7.0,A
2,4,7,15,124,63,94,50,1,2,10,5,16,115,64,86,44,3,3.2,3.25,2.3,D
4,15,2,9,106,54,103,59,4,3,22,2,13,64,32,184,105,5,7.5,4.5,1.4,A
1,13,5,16,106,57,102,52,4,3,12,3,16,91,42,111,57,4,5.5,3.6,1.67,D
3,14,5,20,133,66,98,46,2,3,12,5,19,127,74,108,56,2,2.5,3.3,2.8,D
1,7,5,12,129,60,89,43,4,3,11,2,8,118,58,80,33,5,3.8,3.3,2.0,A
2,29,1,7,97,49,147,80,7,2,8,6,14,105,49,68,28,2,1.4,4.5,7.5,A
3,12,5,18,136,69,94,47,2,1,10,4,10,120,58,96,45,5,3.5,3.3,2.1,A
2,20,3,12,57,30,190,105,5,3,8,5,16,113,65,91,45,2,1.4,4.5,8.0,A
2,7,6,14,109,55,73,30,2,3,17,2,10,101,51,100,56,5,5.5,3.5,1.67,H
3,13,3,17,94,44,111,61,4,3,4,6,13,118,59,88,47,1,2.38,3.25,3.0,D
4,11,4,16,121,75,107,55,2,2,31,0,6,100,52,148,89,8,15.0,7.0,1.17,H
3,10,2,9,123,60,82,34,5,2,15,4,17,114,64,106,54,4,2.8,3.3,2.5,H
3,8,5,16,126,74,101,56,2,1,8,5,12,119,60,103,54,4,5.5,3.5,1.67,A
2,20,2,10,51,26,196,106,6,4,8,5,14,118,57,89,47,1,1.33,5.0,8.5,H
2,6,6,15,113,65,88,44,2,2,14,5,17,137,75,96,53,3,4.33,3.5,1.83,H
3,8,3,9,121,61,76,31,4,2,17,3,10,47,23,187,98,5,10.0,4.75,1.33,H
2,6,6,14,113,64,85,42,2,4,14,3,19,99,50,114,64,3,7.0,3.75,1.53,A
4,8,4,12,114,55,74,40,2,3,7,5,16,121,69,102,55,2,2.8,3.25,2.5,A
0,7,6,12,115,61,96,50,4,2,18,2,10,89,49,103,59,6,4.33,3.5,1.83,D
2,31,0,5,96,53,146,87,8,1,13,5,15,134,76,99,57,4,1.5,4.0,7.0,D
2,13,4,16,107,59,106,57,4,1,7,7,15,112,58,61,28,2,3.0,3.25,2.38,D
2,16,3,10,44,22,172,91,5,1,8,6,14,109,61,97,52,3,1.53,3.8,6.5,D
2,14,4,14,131,75,108,63,4,1,7,6,13,108,61,90,41,3,2.4,3.3,2.9,D
3,7,5,15,111,63,97,52,2,3,7,3,9,117,62,70,28,4,4.5,3.4,1.85,H
3,13,3,15,111,63,105,53,4,4,8,4,12,105,47,79,46,2,3.2,3.3,2.25,H
3,14,4,21,103,53,115,66,3,2,7,6,13,113,53,68,32,2,2.25,3.3,3.1,A
3,18,2,12,86,49,97,52,5,3,29,0,6,100,56,138,83,7,8.0,4.5,1.4,H
3,16,3,15,97,54,94,51,4,3,13,4,17,113,64,106,54,3,2.3,3.3,3.1,H
3,16,3,19,101,50,123,68,4,3,17,3,12,47,25,168,93,4,8.5,4.75,1.36,H
2,12,5,15,100,63,102,57,3,3,8,5,15,103,58,90,47,2,2.4,3.3,2.9,H
2,6,6,12,117,55,72,34,2,3,10,4,13,103,48,79,43,3,3.5,3.3,2.1,D
2,16,4,19,102,57,87,49,4,3,12,3,11,125,72,109,61,4,2.8,3.25,2.5,H
2,5,6,12,108,59,90,46,2,2,10,3,11,115,61,71,32,5,4.75,3.5,1.75,H
2,10,3,10,104,54,76,32,5,2,12,5,16,107,69,101,58,3,3.4,3.2,2.2,A
2,10,5,15,103,58,95,51,3,2,16,4,20,110,60,118,64,4,5.25,3.6,1.67,H
2,17,4,17,109,61,107,57,4,2,14,5,20,105,57,88,48,3,4.0,3.4,1.91,D
4,10,3,12,99,46,79,40,3,3,12,2,5,108,63,112,64,5,4.0,3.4,1.91,H
2,3,7,13,112,58,90,46,1,2,6,6,12,120,54,74,32,2,3.4,3.4,2.1,D
3,17,2,10,47,24,166,95,5,3,29,0,6,103,58,136,82,7,3.1,3.4,2.25,H
2,12,5,15,111,71,106,59,3,3,3,6,11,97,50,97,48,1,2.63,3.3,2.63,D
3,10,4,13,95,47,78,41,3,3,14,4,17,106,59,86,49,3,4.5,3.5,1.83,H
3,6,5,11,124,55,74,34,2,3,24,0,5,100,57,129,82,7,15.0,6.0,1.2,H
3,12,1,2,101,59,110,65,6,3,18,3,17,111,66,101,55,4,2.8,3.3,2.5,A
2,10,3,10,104,55,79,35,5,2,18,3,13,105,53,115,63,5,4.0,3.4,1.91,H
3,15,3,11,57,34,148,84,4,2,8,6,17,103,57,90,50,2,1.36,5.0,8.0,A
3,23,0,5,104,59,145,93,7,3,10,4,13,95,47,75,39,3,1.4,4.5,8.0,A
3,14,0,2,105,64,108,66,7,3,6,6,14,143,69,80,39,1,2.5,3.3,2.75,D
3,19,3,16,105,65,111,62,4,2,8,6,18,108,63,89,49,2,2.88,3.2,2.5,A
4,5,6,14,138,67,89,45,0,4,4,5,11,96,48,99,45,1,3.2,3.2,2.3,H
2,9,4,11,110,54,73,32,4,4,11,0,2,106,67,100,61,6,3.4,3.4,2.1,H
3,12,5,16,102,62,102,59,2,3,20,3,17,109,68,114,66,4,3.1,3.3,2.3,H
2,19,2,12,102,53,117,60,6,3,12,5,16,116,73,101,61,2,2.5,3.3,2.75,D
3,18,3,16,110,69,119,72,4,2,16,3,10,64,36,139,83,5,12.0,5.5,1.25,H
1,8,7,19,101,63,93,51,2,4,5,4,10,93,46,97,44,2,3.5,3.3,2.1,D
2,14,4,16,100,56,86,48,4,1,9,5,13,114,58,70,31,4,2.8,3.25,2.5,H
2,9,6,17,95,61,88,48,2,3,17,3,15,94,57,120,72,4,4.0,3.4,1.8,D
5,6,3,7,82,40,93,43,2,3,10,4,12,92,44,71,39,3,3.2,3.25,2.1,A
1,18,3,9,62,34,135,82,6,4,5,6,14,137,67,96,48,0,1.33,5.0,7.0,H
4,9,5,12,132,69,98,52,1,4,13,5,18,127,77,96,57,1,4.0,3.4,1.91,H
3,11,4,13,89,43,73,40,3,1,14,4,12,68,39,115,71,5,15.0,7.0,1.17,H
4,12,0,3,104,66,96,64,6,3,20,2,14,104,52,127,62,5,3.8,3.3,2.0,H
2,15,4,17,107,60,89,49,4,2,10,6,18,93,56,91,49,2,2.38,3.25,3.0,A
3,15,3,13,94,54,118,70,4,4,8,3,8,82,40,93,44,3,3.0,3.2,2.4,H
3,18,0,4,97,57,144,87,7,1,10,5,14,125,61,80,37,4,1.57,3.75,6.0,A
2,21,0,4,89,54,148,91,8,3,14,4,14,97,55,106,63,3,1.4,4.5,8.0,H
3,22,2,14,101,51,119,59,5,2,13,4,17,111,59,86,45,4,3.0,3.3,2.38,A
2,11,6,18,91,54,99,48,2,3,12,1,6,98,64,95,59,6,5.0,3.75,1.67,A
4,9,2,7,72,36,96,45,4,2,21,1,8,94,58,144,91,7,17.0,7.5,1.14,H
0,10,6,17,113,57,82,39,4,4,10,5,12,126,63,97,54,1,2.5,3.3,2.75,D
1,16,3,11,63,36,121,75,6,2,13,5,20,100,53,86,43,3,1.67,3.75,5.0,A
4,12,5,19,128,80,98,60,1,2,12,5,16,101,51,68,37,3,2.63,3.3,2.6,H
3,22,2,15,98,46,110,54,5,2,17,4,14,93,53,105,67,4,2.5,3.25,2.8,A
4,12,5,18,125,75,89,49,1,1,21,1,7,94,56,142,87,8,15.0,7.0,1.17,H
5,10,4,11,120,58,101,56,1,2,11,6,18,95,59,96,46,2,3.0,3.25,2.38,H
2,11,6,20,108,58,84,40,2,4,9,2,7,81,37,94,41,4,2.5,3.25,2.8,H
1,10,5,12,95,46,68,35,4,1,11,5,15,107,54,78,37,4,4.5,3.5,1.8,H
2,15,4,12,87,52,107,66,4,4,13,5,20,121,72,86,48,1,3.0,3.25,2.38,A
3,9,2,7,89,55,91,56,5,1,16,3,11,68,39,118,75,6,9.0,5.0,1.33,H
1,22,1,8,88,53,128,75,8,2,20,2,12,99,46,100,48,6,1.91,3.4,4.0,D
2,13,5,18,93,56,99,50,3,3,12,6,21,113,70,85,48,1,3.7,3.4,2.0,H
1,10,7,22,104,58,78,38,2,1,18,2,11,73,43,127,81,7,8.5,4.33,1.4,H
1,9,6,13,102,49,73,37,3,4,11,2,8,80,37,87,41,4,3.4,3.4,2.1,H
4,10,5,12,114,58,95,52,1,2,13,4,12,92,54,98,60,4,4.0,3.4,1.91,D
2,16,2,8,102,45,93,43,6,3,9,3,9,94,57,89,55,4,2.63,3.25,2.63,A
1,12,4,14,99,48,87,41,5,2,19,1,8,86,48,129,74,7,10.0,5.0,1.3,H
3,14,2,8,76,38,83,40,5,2,11,5,16,91,55,96,50,3,3.0,3.25,2.38,A
2,10,4,11,91,56,92,53,4,1,12,4,14,99,47,94,44,5,3.5,3.3,2.1,A
2,9,6,17,97,56,84,46,2,2,14,4,13,95,52,97,56,4,3.25,3.3,2.2,D
1,8,7,16,107,57,66,32,2,5,11,4,12,109,55,92,52,1,3.1,3.3,2.3,H
1,19,2,13,80,47,135,84,7,2,19,1,8,103,46,91,44,7,2.0,3.5,3.6,A
