away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
2,28,0,7,88,31,153,76,8,1,11,4,13,149,55,129,44,5,1.53,4.0,6.5,D
4,12,5,22,119,51,187,60,1,1,14,3,11,154,50,111,38,6,2.75,3.3,2.5,H
4,10,5,19,141,51,101,38,1,1,26,1,8,150,55,190,71,8,12.0,6.0,1.22,H
1,19,2,7,97,29,151,59,7,1,7,6,19,124,55,153,42,3,1.73,3.5,5.0,A
0,12,6,16,123,52,167,61,4,4,8,3,10,139,46,108,32,3,3.5,3.3,2.1,A
2,14,5,21,138,56,149,53,3,2,10,7,15,132,47,133,44,1,3.0,3.4,2.3,D
3,10,4,12,165,57,112,35,3,2,18,3,13,134,47,112,51,5,4.75,3.6,1.73,H
3,19,1,10,122,44,139,57,6,3,11,4,12,128,43,98,27,3,2.2,3.3,3.25,A
4,14,4,17,129,45,131,39,2,3,14,5,14,117,41,121,55,2,5.5,3.75,1.62,H
4,12,2,10,140,41,118,40,4,3,3,6,16,159,51,85,25,1,2.5,3.25,2.8,D
3,8,7,16,123,45,140,44,0,1,21,1,6,100,24,159,61,8,12.0,5.5,1.25,D
2,16,5,14,123,44,123,54,3,5,12,1,7,130,35,114,37,4,2.5,3.3,2.75,H
2,19,3,14,147,54,113,53,5,3,20,1,11,127,45,146,54,6,6.0,4.0,1.53,D
2,11,4,14,154,57,123,41,4,2,11,5,15,169,61,112,40,3,3.25,3.3,2.2,A
4,8,3,11,136,46,114,34,3,4,13,5,21,133,58,185,62,1,4.75,3.5,1.75,H
1,24,1,6,149,52,182,69,8,3,26,0,8,87,27,146,70,7,4.0,3.6,1.85,H
4,3,5,14,154,50,88,25,1,0,10,6,15,133,52,169,59,4,6.5,4.0,1.5,H
1,14,2,9,140,44,124,46,7,4,9,5,16,152,54,105,35,1,2.63,3.25,2.63,A
1,8,6,20,118,50,148,41,3,3,15,5,20,122,46,137,43,2,3.7,3.4,2.0,D
2,11,5,14,132,39,99,27,3,3,14,5,22,137,58,139,46,2,3.7,3.4,2.0,A
3,25,0,8,84,26,141,65,7,4,4,5,18,155,51,78,23,1,1.25,5.5,12.0,A
3,22,0,6,77,26,147,62,7,1,14,2,9,142,45,120,48,7,1.62,3.8,5.5,A
2,12,5,18,170,64,118,45,3,1,21,2,7,146,53,181,65,7,17.0,6.5,1.17,H
4,16,4,19,120,45,139,42,2,2,19,1,7,99,26,153,59,7,9.5,4.75,1.33,D
