,round_epochs,val_loss,val_acc,loss,acc,first_neuron,normalize,nr_hidden_layers,hidden_layers,optimizer,batch_size,epochs
0,200,1.019507697726306,0.5217391381428527,1.0002349965662347,0.5527950315115501,10,True,0,15,rmsprop,512,200
1,200,1.0974102021592649,0.5172798246178473,1.0786495379324,0.5379837559161434,15,True,1,10,sgd,512,200
2,100,1.071343022711168,0.5105908499779377,1.0453836511210055,0.5360726235987066,10,False,1,15,adam,512,100
3,100,1.0514126295761652,0.516165002133934,1.026925907201079,0.5508838992795475,15,True,0,15,rmsprop,512,100
4,50,1.0732027496914136,0.4994425921137118,1.0532951041721466,0.5370281897716641,15,True,0,20,adam,512,50
5,50,1.0877553721601216,0.5195094837392852,1.0688732778177383,0.5389393220891009,15,True,1,10,rmsprop,512,50
6,200,1.0122049720656778,0.526198440570895,0.9949251062495253,0.5547061634445327,10,True,0,20,rmsprop,256,200
7,50,1.0782096658396216,0.5183946512215911,1.0542872230003055,0.5351170574827053,15,True,0,15,sgd,256,50
8,50,1.0619854916431168,0.5161649952232505,1.04182573846807,0.5451505022418026,20,False,0,20,rmsprop,256,50
9,50,1.1050812829962808,0.5072463770773897,1.0811899939166605,0.5255613956961743,20,True,0,20,sgd,256,50
10,200,1.004007385260817,0.5306577480490524,0.9885981729938491,0.5527950311270958,20,False,2,20,adam,64,200
11,50,1.0874870531800864,0.4972129377101443,1.0747545816313975,0.5102723369288547,10,True,0,10,sgd,512,50
12,200,1.0149879449586008,0.5239687861673277,0.9962587078621213,0.5499283331350681,15,False,0,10,rmsprop,256,200
13,200,1.065302431915649,0.5306577577505888,1.0515232254202378,0.5566172963742485,15,True,1,15,rmsprop,512,200
14,200,0.9985451185982362,0.5362318840579711,0.9892959393671239,0.5542283807425082,20,True,1,20,rmsprop,64,200
15,200,1.0392420831465534,0.5306577483148479,1.0240159734150922,0.5570950788484483,10,False,2,10,rmsprop,256,200
16,50,1.0543329419366758,0.5239687848383501,1.0372262731215856,0.5508838987242247,10,True,1,15,adam,64,50
17,50,1.1287424922521032,0.5183946488294314,1.112664352976074,0.5494505500485893,15,False,2,20,adam,64,50
18,50,1.084661713677771,0.5172798234882163,1.0613715321153074,0.5484949838471538,15,True,1,10,rmsprop,256,50
19,200,1.1085573648795104,0.5228539576365663,1.0894603084504064,0.5475394177026744,20,False,1,20,sgd,64,200
20,200,1.1511873438738394,0.5195094773601927,1.1286958421296158,0.5394171051186235,20,False,1,20,sgd,256,200
21,200,1.0361857058079613,0.5295429232394283,1.0181467783718774,0.555661729589012,15,True,1,10,adam,256,200
22,50,1.0977044214505947,0.5217391304347826,1.0787040720815244,0.5470616346161957,15,False,2,15,adam,64,50
23,100,1.0590541883721665,0.513935352448237,1.0376130888123747,0.5427615866670185,10,True,1,10,adam,512,100
24,200,1.049581467108583,0.5195094768286017,1.025802983060956,0.5504061159937221,15,False,1,10,adam,256,200
25,100,1.0400922829357941,0.5239687848383501,1.0207365661845273,0.5513616823660262,10,False,2,10,adam,64,100
26,200,1.0287416091597865,0.5284280949744625,1.0114048021123332,0.5551839469439438,10,True,1,15,adam,256,200
27,50,1.1405061517936597,0.5195094768286017,1.1179581784883073,0.5470616345022833,15,True,2,15,adam,256,50
28,100,1.1091001139436678,0.5150501672240803,1.0891432197140667,0.543717152868454,15,True,1,20,sgd,64,100
29,200,1.078697451779675,0.5340022393559399,1.0611196885653449,0.5551839469439438,15,True,1,20,rmsprop,512,200
30,200,1.0513985834791508,0.5228539653446364,1.037156851509229,0.548494983291831,10,False,1,20,rmsprop,512,200
31,100,1.097192488652275,0.5295429305488051,1.0769174970398094,0.5523172485105056,20,True,1,15,rmsprop,512,100
32,200,1.0009034862087722,0.5261984392419174,0.9822136869968209,0.5537505977414637,10,False,0,20,adam,64,200
33,200,1.0078499368999316,0.5295429208472687,0.9947493607156082,0.5542283807709864,15,True,2,10,adam,64,200
34,100,1.0709544036167786,0.5072463683725865,1.0478916948512589,0.5427615868663651,20,False,0,20,adam,512,100
35,200,1.0016658032352443,0.5328874024526199,0.9875259606734567,0.5547061638574651,15,True,0,20,rmsprop,64,200
36,100,1.126890561519525,0.5217391317637602,1.1048370333761333,0.5494505494647886,20,False,2,15,adam,256,100
37,200,1.1377417900357625,0.5250836055945924,1.1253084630073114,0.5418060204655829,20,False,2,10,sgd,512,200
38,100,1.0719604248984602,0.5239687856357366,1.0515792679968943,0.5484949838471538,15,False,2,10,rmsprop,256,100
39,200,1.0022608993311257,0.5317725752508361,0.986740458028714,0.5556617296174902,20,True,2,20,adam,64,200
40,50,1.2447704363826126,0.51839465069,1.2250624394450982,0.5355948404267936,20,False,2,20,sgd,256,50
41,50,1.1752992088313619,0.5139353429460473,1.1632794249416594,0.5355948404837497,10,False,2,20,sgd,256,50
42,200,1.0037996186194744,0.5273132664437012,0.9861837708659567,0.5542283808848987,15,False,0,20,adam,64,200
43,200,1.0433756184817158,0.5273132761452376,1.0306481262513227,0.5575728623763375,20,True,0,15,adam,512,200
44,100,1.035299021397679,0.5295429221762462,1.0165450503480986,0.5532728147404192,15,True,0,15,adam,256,100
45,50,1.079378064526629,0.5128205136178994,1.0632298456329623,0.5255613951408515,15,True,0,20,sgd,256,50
46,100,1.0182193369503936,0.5261984392419174,1.0053526894988138,0.5537505977699418,20,True,0,10,rmsprop,64,100
47,100,1.1080677296671448,0.5239687856357366,1.093589927440503,0.5480172008176313,20,False,2,20,rmsprop,256,100
48,200,1.054836318511495,0.5195094675922075,1.0345203333987725,0.5532728146834631,20,False,0,20,adam,512,200
